"time,""_geo"",""geo"",""value"",""UNIT"",""_UNIT"",""EGROUP"",""_EGROUP"",""POSITION"",""_POSITION"",""sex"",""_sex"",""_flag"""
"1999-Q1,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"1999-Q3,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2004-Q3,""AT"",""Austria"",5,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2009-Q4,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2010-Q1,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2010-Q2,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2010-Q3,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2010-Q4,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2011-Q1,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2011-Q2,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2011-Q3,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2011-Q4,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2012-Q1,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2012-Q2,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2012-Q3,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2012-Q4,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2013-Q1,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2013-Q2,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2013-Q3,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2013-Q4,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2014-Q1,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2014-Q2,""AT"",""Austria"",6,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2014-Q3,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2014-Q4,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2015-Q1,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2015-Q2,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2015-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2015-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2016-Q1,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2016-Q2,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2016-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2016-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2017-Q1,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2017-Q2,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2017-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2017-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2018-Q1,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2018-Q2,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2018-Q3,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2018-Q4,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2019-Q1,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2019-Q2,""AT"",""Austria"",7,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2019-Q3,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2019-Q4,""AT"",""Austria"",9,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2020-Q1,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2020-Q2,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2020-Q3,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2020-Q4,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2021-Q1,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2021-Q2,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
"2021-Q3,""AT"",""Austria"",8,""Number of persons (headcount)"",""NR"",""European Parliament"",""EUR_PARL"",""Members: Members of parliament/assembly (count includes the president)"",""MEMB_PARL"",""Women"",""W"","
