Data extracted on 10/06/2022 14:31:13 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;1 child;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Less than primary, primary and lower secondary education (levels 0-2);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);60,8;;59,5;;59,5;b;60,3;;61,8;;63,3;;63,5;;64,6;;63,3;;63,9;b
European Union - 28 countries (2013-2020);62,1;;60,9;;60,9;b;61,6;;63,3;;64,9;;65,3;;66,4;;:;;:;
European Union - 15 countries (1995-2004);65,9;;64,4;;63,9;b;64,4;;66,3;;67,8;;68,2;;69,0;;:;;:;
Euro area - 19 countries  (from 2015);64,3;;62,8;;62,0;b;62,8;;64,4;;66,0;;66,1;;66,9;;65,5;;66,2;b
Belgium;59,0;;56,6;;55,8;b;58,8;;54,4;;58,0;b;56,3;;57,5;;59,4;;53,7;b
Bulgaria;31,0;;35,9;;34,4;b;40,9;;41,9;;51,0;;46,5;;53,9;;52,1;;49,4;b
Czechia;23,8;;33,9;;33,7;b;32,9;;46,0;;41,6;;35,9;;39,7;;47,9;;35,3;b
Denmark;67,6;;64,1;;64,7;b;67,5;;70,1;b;69,1;b;68,0;;69,3;;68,0;;69,4;b
Germany (until 1990 former territory of the FRG);65,1;b;66,0;;64,3;b;63,6;;65,7;;65,4;;66,7;;67,5;;68,9;b;68,1;b
