Data extracted on 10/06/2022 14:31:16 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;1 child;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Tertiary education (levels 5-8);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);90,0;;89,5;;90,5;b;90,6;;91,3;;92,0;;92,1;;92,0;;91,6;;91,6;b
European Union - 28 countries (2013-2020);90,3;;90,0;;90,8;b;91,1;;91,6;;92,4;;92,4;;92,2;;:;;:;
European Union - 15 countries (1995-2004);90,0;;89,5;;90,5;b;90,7;;91,2;;92,0;;92,0;;91,7;;:;;:;
Euro area - 19 countries  (from 2015);89,4;;88,7;;89,9;b;89,9;;90,6;;91,3;;91,5;;91,4;;90,8;;90,9;b
Belgium;91,3;;88,8;;89,0;b;86,5;;89,1;;92,4;b;89,8;;92,0;;89,4;;90,3;b
Bulgaria;90,3;;90,8;;91,2;b;92,5;;91,8;;90,8;;92,8;;94,4;;92,0;;94,1;b
Czechia;95,4;;96,4;;94,2;b;95,7;;95,8;;97,7;;96,4;;93,9;;94,9;;94,8;b
Denmark;90,0;;91,9;;94,4;b;93,7;;93,5;b;93,4;b;94,6;;92,5;;95,2;;92,7;b
Germany (until 1990 former territory of the FRG);95,5;b;95,5;;95,1;b;95,4;;94,7;;94,7;;94,8;;94,8;;94,3;b;94,2;b
Estonia;93,9;;93,9;;92,4;b;94,3;;93,5;;94,4;;94,2;;93,6;;96,2;;92,8;b
Ireland;86,0;;86,8;;87,7;b;90,6;;89,7;;91,4;b;91,2;;91,9;;89,6;;88,6;b
Greece;85,4;;82,1;;82,9;b;84,7;;84,2;;83,9;;86,1;;89,8;;89,3;;88,1;b
Spain;81,8;;81,2;;84,6;b;85,5;;87,3;;87,8;;89,1;;87,9;;87,0;;86,4;bd
France;88,5;;86,6;b;89,5;b;87,1;;89,7;;91,6;;90,6;;89,4;;89,9;;90,9;bd
Croatia;87,4;;83,9;;80,8;b;80,8;;84,3;;85,5;;82,6;;85,5;;90,2;;91,3;b
Italy;90,2;;89,9;;89,6;b;90,3;;90,3;;89,8;;90,6;;90,4;;90,4;;91,1;b
Cyprus;87,7;;84,2;;82,1;b;88,6;;85,2;;90,2;;91,3;;92,4;;90,8;;91,2;b
Latvia;92,0;;91,1;;88,4;b;93,6;;93,4;;84,7;;95,0;;95,7;;88,0;;87,7;b
Lithuania;89,7;;91,5;;93,8;b;93,4;;93,6;;92,6;;93,7;;94,3;;94,4;;95,3;b
Luxembourg;93,3;;87,8;;90,2;b;92,9;b;86,4;;83,6;;89,3;;87,6;;87,7;;88,3;b
Hungary;90,9;;91,6;;93,3;b;92,1;;93,3;;94,5;;94,4;;93,4;;94,4;;95,4;b
Malta;95,4;;96,3;;96,2;b;96,8;;98,5;;94,4;;97,1;;93,8;;94,8;;95,6;b
Netherlands;93,6;;93,2;b;93,8;b;93,6;;93,5;;94,2;;94,7;;94,9;b;94,2;;93,5;b
Austria;94,3;;93,3;;90,8;b;91,2;;90,4;;93,8;;92,2;;93,1;;91,7;;91,5;b
Poland;91,7;;92,3;;93,5;b;92,8;;93,8;;95,6;;95,2;;94,9;;95,0;;95,3;b
Portugal;82,3;;85,0;;86,7;b;87,9;;89,1;;89,3;;89,5;;90,8;;92,2;;91,8;b
Romania;92,9;;92,2;;91,5;b;94,0;;93,9;;94,1;;94,5;;94,6;;94,0;;93,3;b
Slovenia;92,7;;90,5;;91,3;b;90,9;;91,7;;95,7;;94,7;;95,3;;96,0;;92,3;b
Slovakia;84,4;;87,3;;87,4;b;88,7;;88,2;;90,1;;91,4;;94,1;;89,2;;94,2;b
Finland;90,5;;92,8;;91,5;b;91,7;;92,9;;91,8;;93,2;;93,9;;93,0;;93,5;b
Sweden;94,0;;93,4;;95,9;b;93,8;;94,4;;92,2;;94,1;b;97,8;;93,2;;92,1;b
United Kingdom;91,9;;92,6;;92,2;b;94,0;;92,9;;94,7;;94,0;;92,9;;:;;:;
Montenegro;76,5;;81,8;;77,8;b;80,7;;73,5;;77,6;;79,1;;75,8;;70,9;;:;
North Macedonia;74,9;;74,0;;75,6;b;80,0;;80,6;;80,9;;81,2;;82,2;;82,3;;:;
Serbia;68,3;;75,8;;78,2;b;78,2;;80,4;;83,7;;83,4;;83,7;;82,1;;87,1;b
Turkey;85,4;;86,7;;85,2;b;87,4;;86,1;;86,2;;86,1;;84,9;;84,2;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
