Data extracted on 10/06/2022 14:31:15 from [ESTAT]																				
Dataset: 	Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982]																			
Last updated: 	12/05/2022 23:00																			
																				
Time frequency		Annual																		
Sex		Males																		
Age class		18 years or over																		
Number of children		1 child																		
Age of the child		Total																		
International Standard Classification of Education (ISCED 2011)		Upper secondary and post-secondary non-tertiary education (levels 3 and 4)																		
																				
TIME	2012		2013		2014		2015		2016		2017		2018		2019		2020		2021	
GEO (Labels)																				
European Union - 27 countries (from 2020)	78,8		77,6		78,2	b	79,1		79,5		80,3		81,5		81,1		79,7		79,2	b
European Union - 28 countries (2013-2020)	79,2		77,9		78,6	b	79,3		80,1		80,8		82,0		81,7		:		:	
European Union - 15 countries (1995-2004)	80,2		78,5		78,9	b	79,5		80,1		80,6		81,9		81,0		:		:	
Euro area - 19 countries  (from 2015)	79,2		77,6		77,9	b	78,8		78,9		79,6		80,9		80,1		78,4		78,4	b
Belgium	76,5		74,7		72,3	b	72,0		74,1		72,8	b	76,3		73,7		72,4		71,9	b
Bulgaria	75,1		75,3		76,0	b	78,1		79,0		79,6		81,1		82,8		78,5		80,6	b
Czechia	87,2		85,8		87,5	b	88,5		88,6		88,5		90,0		89,1		89,9		89,0	b
Denmark	84,9		88,4		85,3	b	91,9		86,5	b	89,3	b	89,7		88,4		90,0		89,5	b
Germany (until 1990 former territory of the FRG)	88,3	b	87,9		88,2	b	88,0		88,8		89,0		89,6		89,7		88,0	b	88,0	b
Estonia	80,5		80,8		81,7	b	84,3		86,5		85,6		87,7		89,4		86,2		83,4	b
Ireland	66,1		68,7		71,5	b	74,1		77,6		76,9	b	78,6		80,4		72,9		79,0	b
Greece	66,0		64,6		64,9	b	64,5		66,0		70,2		71,5		74,4		71,4		72,1	b
Spain	63,1		60,3		63,1	b	68,4		67,1		67,8		69,8		68,4		62,8		62,8	bd
France	77,9		74,3	b	76,1	b	76,6		75,2		75,7		77,6		73,7		75,1		75,1	bd
Croatia	69,2		64,7		65,0	b	65,8		67,8		69,4		71,1		74,6		73,6		72,3	b
Italy	78,4		76,8		74,3	b	76,0		76,3		77,6		78,1		78,0		77,4		77,8	b
Cyprus	75,4		69,8		68,4	b	70,7		73,4		74,5		74,9		77,6		79,8		79,5	b
Latvia	72,7		74,9		78,5	b	79,3		77,8		83,6		81,6		80,1		81,6		76,1	b
Lithuania	70,2		73,4		75,5	b	75,7		76,3		78,9		80,3		81,6		78,0		77,9	b
Luxembourg	75,0		76,1		76,5	b	74,8	b	72,3		74,4		75,9		73,9		72,6		71,9	b
Hungary	74,7		75,6		78,7	b	81,7		82,5		83,7		84,2		84,1		83,8		83,9	b
Malta	81,7		79,7		81,5	b	79,4		81,6		82,2		85,1		86,0		84,4		83,2	b
Netherlands	87,0		85,7	b	87,0	b	87,7		86,6		87,2		88,6		88,1	b	87,5		90,7	b
Austria	87,1		85,6		84,7	b	83,0		84,3		85,3		84,8		86,0		83,7		84,4	b
Poland	76,9		76,7		77,6	b	78,5		80,3		81,3		81,9		83,3		82,4		80,4	b
Portugal	69,9		71,0		74,8	b	75,6		77,5		77,5		79,2		81,1		76,4		75,7	b
Romania	77,6		76,9		78,4	b	77,7		78,0		79,5		80,5		80,2		79,2		77,0	b
Slovenia	77,9		76,7		78,8	b	78,4		80,8		83,3		84,7		84,4		82,5		80,1	b
Slovakia	78,7		76,4		78,6	b	78,7		82,1		82,6		84,2		84,8		81,4		79,7	b
Finland	84,7		84,0		82,8	b	83,1		83,6		82,6		86,9		87,2		84,2		83,7	b
Sweden	88,4		87,8		89,6	b	89,8		89,7		92,3		90,0	b	97,3		92,3		88,1	b
United Kingdom	82,9		81,0		82,9	b	81,5		85,6		85,3		87,0		86,3		:		:	
Montenegro	54,7		55,1		56,9	b	55,1		59,0		59,5		61,7		66,6		58,3		:	
North Macedonia	57,3		55,9		58,8	b	58,2		60,4		63,8		62,3		65,6		62,7		:	
Serbia	57,0		60,1		62,9	b	64,5		67,9		67,6		69,4		70,7		70,4		70,2	b
Turkey	73,0		74,0		74,3	b	73,9		74,5		73,9		74,1		72,2		68,6		:	
																				
Special value																				
:	not available																			
Available flags:																				
bd	break in time series, definition differs (see metadata)																			
b	break in time series																			
