Data extracted on 10/06/2022 14:31:06 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;No children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;All ISCED 2011 levels;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);51,0;;50,6;;50,7;;51,2;;51,9;;52,7;;53,4;;53,8;;52,9;;52,4;b
European Union - 28 countries (2013-2020);51,7;;51,5;;51,7;;52,2;;52,8;;53,5;;54,1;;54,5;;:;;:;
European Union - 15 countries (1995-2004);51,8;;51,5;;51,4;;51,9;;52,5;;53,1;;53,6;;53,9;;:;;:;
Euro area - 19 countries  (from 2015);50,5;;50,0;;49,9;;50,3;;51,0;;51,7;;52,4;;52,8;;51,7;;52,1;b
Belgium;47,9;;47,2;;46,6;;46,4;;46,6;;47,8;b;48,5;;48,9;;48,5;;48,4;b
Bulgaria;47,3;;47,5;;48,3;;50,6;;50,4;;53,9;;54,5;;56,9;;55,6;;55,2;b
Czechia;57,5;;57,7;;58,5;;59,3;;60,3;;60,9;;61,5;;61,0;;60,1;;60,7;b
Denmark;58,1;;58,3;;58,6;;59,1;;61,3;b;59,6;b;60,0;;60,9;;60,9;;58,7;b
Germany (until 1990 former territory of the FRG);57,6;b;57,7;;58,0;;57,9;;59,1;;59,6;;60,0;;60,8;;58,6;b;58,7;b
Estonia;55,2;;56,6;;58,7;;59,0;;58,5;;61,2;;61,5;;62,5;;60,4;;60,4;b
Ireland;51,2;;52,9;;54,0;;55,4;;55,9;;57,4;b;58,8;;59,8;;58,5;;58,5;b
Greece;41,4;;39,1;;38,9;;40,4;;40,9;;41,8;;43,9;;44,6;;44,3;;44,6;b
Spain;44,2;;43,2;;43,5;;45,2;;46,2;;47,0;;48,1;;49,4;;48,0;;49,1;bd
France;47,6;;47,7;;46,1;b;45,8;;45,8;;46,6;;46,8;;45,9;;45,9;;47,2;bd
Croatia;42,9;;41,1;;42,6;;43,1;;43,1;;45,2;;46,5;;47,3;;46,4;;47,0;b
Italy;45,9;;44,5;;44,8;;45,5;;46,2;;46,6;;47,1;;47,4;;46,8;;46,5;b
Cyprus;55,3;;52,8;;52,5;;50,9;;51,3;;53,5;;56,7;;58,8;;57,8;;59,2;b
Latvia;51,4;;52,7;;52,7;;53,7;;53,9;;55,0;;58,1;;58,2;;58,5;;58,0;b
Lithuania;49,5;;51,0;;52,6;;54,6;;56,7;;57,0;;59,3;;58,9;;58,7;;58,7;b
Luxembourg;56,0;;56,3;;56,1;;56,0;b;54,8;;54,7;;55,4;;55,0;;54,0;;56,2;b
Hungary;47,7;;49,4;;52,3;;53,9;;56,3;;58,4;;59,1;;59,7;;59,0;;59,8;b
Malta;54,6;;55,0;;56,9;;57,4;;58,2;;60,4;;61,8;;62,6;;61,7;;63,6;b
Netherlands;59,2;;58,4;;57,8;;57,8;;58,2;;58,8;;59,2;;60,2;;59,6;;60,7;b
Austria;56,6;;56,6;;55,8;;56,2;;56,5;;56,5;;58,0;;58,1;;56,5;;56,3;b
Poland;50,9;;50,9;;51,7;;52,1;;53,1;;54,2;;54,6;;54,8;;55,0;;48,4;b
Portugal;50,2;;48,7;;49,2;;49,4;;50,3;;52,9;;53,8;;54,2;;52,5;;51,4;b
Romania;53,4;;53,7;;54,4;;53,9;;53,9;;55,5;;56,3;;56,8;;56,0;;52,1;b
Slovenia;50,7;;49,7;;49,7;;50,3;;48,3;;51,0;;52,8;;52,6;;51,8;;52,8;b
Slovakia;55,1;;54,8;;54,9;;56,3;;57,6;;57,4;;58,4;;59,1;;58,0;;57,5;b
Finland;52,2;;51,1;;50,4;;49,8;;50,3;;50,8;;52,5;;52,4;;51,1;;53,0;b
Sweden;61,6;;62,0;;61,3;;63,3;;62,0;;62,8;;64,3;b;63,7;;64,0;;58,0;b
United Kingdom;57,1;;57,6;;58,6;;58,9;;58,9;;59,1;;59,1;;59,1;;:;;:;
Montenegro;40,0;;41,2;;45,0;;44,9;;46,4;;48,6;;50,6;;52,5;;47,5;;:;
North Macedonia;43,1;;44,3;;45,5;;46,4;;47,2;;48,5;;48,7;;51,0;;50,9;;:;
Serbia;37,9;;39,5;;43,6;b;44,2;;46,8;;48,7;;50,2;;51,0;;51,3;;51,1;b
Turkey;55,2;;55,7;;56,2;b;56,7;;57,4;;57,6;;57,8;;55,5;;51,8;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
