"TIME","GEO","SEX","AGE","N_CHILD","AGECHILD","ISCED11","Value"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","Total","Total","All ISCED 2011 levels ","46.7"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","24.2"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","52.8"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","71.7"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","No children","Total","All ISCED 2011 levels ","40.0"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","19.8"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","47.4"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","66.1"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","61.6"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","40.4"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","63.6"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","1 child","Total","Tertiary education (levels 5-8)","80.2"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","2 children","Total","All ISCED 2011 levels ","63.3"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","38.3"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.7"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","2 children","Total","Tertiary education (levels 5-8)","82.1"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","3 children or more","Total","All ISCED 2011 levels ","50.2"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","27.9"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","53.1"
"2012","European Union - 27 countries (from 2020)","Females","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","76.3"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","Total","Total","All ISCED 2011 levels ","47.6"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","25.7"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","54.0"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","Total","Total","Tertiary education (levels 5-8)","72.5"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","No children","Total","All ISCED 2011 levels ","41.0"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","21.3"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","48.9"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","No children","Total","Tertiary education (levels 5-8)","67.5"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","1 child","Total","All ISCED 2011 levels ","62.6"
"2012","European Union - 28 countries (2013-2020)","Females","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","41.7"
