"TIME","GEO","SEX","AGE","N_CHILD","AGECHILD","ISCED11","Value"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","Total","Total","All ISCED 2011 levels ","59.6"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","Total","Total","Less than primary, primary and lower secondary education (levels 0-2)","42.2"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","Total","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","64.4"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","Total","Total","Tertiary education (levels 5-8)","74.3"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","No children","Total","All ISCED 2011 levels ","51.0"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","No children","Total","Less than primary, primary and lower secondary education (levels 0-2)","34.2"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","No children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","56.3"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","No children","Total","Tertiary education (levels 5-8)","65.5"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","1 child","Total","All ISCED 2011 levels ","76.0"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","1 child","Total","Less than primary, primary and lower secondary education (levels 0-2)","60.8"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","1 child","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","78.8"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","1 child","Total","Tertiary education (levels 5-8)","90.0"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","2 children","Total","All ISCED 2011 levels ","84.1"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","2 children","Total","Less than primary, primary and lower secondary education (levels 0-2)","68.2"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","2 children","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","86.8"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","2 children","Total","Tertiary education (levels 5-8)","94.4"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","3 children or more","Total","All ISCED 2011 levels ","78.9"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","3 children or more","Total","Less than primary, primary and lower secondary education (levels 0-2)","60.4"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","3 children or more","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","84.1"
"2012","European Union - 27 countries (from 2020)","Males","18 years or over","3 children or more","Total","Tertiary education (levels 5-8)","94.0"
"2012","European Union - 28 countries (2013-2020)","Males","18 years or over","Total","Total","All ISCED 2011 levels ","60.4"
