Data extracted on 10/06/2022 14:31:24 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;3 children or more;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;All ISCED 2011 levels;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);78,9;;78,0;;79,5;;79,2;;79,4;;81,0;;81,1;;82,1;;81,1;;81,5;b
European Union - 28 countries (2013-2020);79,1;;78,6;;79,9;;80,0;;80,5;;81,6;;82,0;;83,0;;:;;:;
European Union - 15 countries (1995-2004);81,0;;80,3;;81,3;;81,2;;81,5;;82,2;;82,5;;83,5;;:;;:;
Euro area - 19 countries  (from 2015);80,4;;79,1;;80,3;;79,7;;79,6;;81,1;;80,8;;81,8;;80,3;;82,5;b
Belgium;79,7;;77,5;;77,2;;76,2;;76,3;;80,7;b;79,1;;78,5;;76,4;;79,2;b
Bulgaria;41,7;;40,9;;50,7;;44,0;;48,3;;56,3;;61,8;;65,9;;58,6;;68,4;b
Czechia;81,2;;84,5;;86,8;;83,9;;88,8;;87,9;;89,3;;88,1;;91,3;;91,2;b
Denmark;91,3;;89,6;;90,3;;92,5;;90,2;b;88,0;b;90,6;;91,9;;91,3;;87,4;b
Germany (until 1990 former territory of the FRG);85,9;b;87,1;;85,7;;85,2;;82,3;;81,9;;81,7;;83,8;;80,4;b;84,8;b
Estonia;81,0;;81,6;;78,2;;78,9;;86,7;;86,5;;85,8;;85,5;;87,1;;83,7;b
Ireland;73,0;;77,1;;79,4;;80,6;;83,3;;83,6;b;84,4;;84,3;;84,9;;87,5;b
Greece;77,3;;77,6;;80,6;;77,0;;81,7;;81,1;;83,1;;85,5;;84,9;;87,7;b
Spain;62,1;;59,9;;68,1;;68,9;;69,5;;75,0;;75,0;;73,9;;71,8;;76,3;bd
France;82,6;;79,3;;80,6;b;79,5;;78,7;;80,8;;79,1;;80,6;;80,0;;80,6;bd
Croatia;64,8;;63,9;;71,7;;71,1;;74,1;;75,2;;75,1;;77,4;;79,8;;80,1;b
Italy;81,1;;78,9;;77,5;;78,6;;78,8;;79,2;;80,5;;81,2;;79,8;;81,1;b
Cyprus;87,1;;83,1;;83,8;;85,5;;85,8;;83,2;;85,9;;87,9;;85,2;;88,3;b
Latvia;68,3;;75,9;;79,7;;81,8;;78,1;;82,8;;79,2;;91,7;;78,0;;87,2;b
Lithuania;68,9;;68,9;;72,0;;75,1;;75,6;;74,2;;76,1;;80,5;;77,9;;82,8;b
Luxembourg;87,8;;84,5;;86,1;;80,5;b;76,2;;83,0;;80,7;;81,2;;79,3;;84,2;b
Hungary;65,7;;68,2;;74,7;;76,8;;78,3;;81,2;;81,5;;82,8;;81,6;;84,4;b
Malta;87,3;;86,4;;85,0;;88,5;;88,5;;92,3;;87,1;;93,0;;87,4;;85,8;b
Netherlands;91,9;;89,6;;91,2;;88,0;;91,4;;90,8;;91,7;;92,2;;92,1;;92,1;b
Austria;85,5;;84,5;;83,9;;81,2;;82,9;;82,7;;85,8;;84,5;;82,8;;84,7;b
Poland;75,9;;75,5;;77,9;;78,3;;79,3;;81,6;;83,6;;85,4;;87,1;;76,6;b
Portugal;71,4;;70,3;;75,8;;79,9;;77,2;;78,1;;80,6;;84,6;;84,3;;83,2;b
Romania;68,8;;69,6;;67,5;;73,2;;71,7;;74,8;;74,8;;74,7;;75,0;;66,1;b
Slovenia;83,8;;86,3;;86,1;;84,0;;85,7;;88,4;;90,2;;90,7;;94,3;;91,3;b
Slovakia;68,7;;65,4;;68,0;;67,8;;72,5;;72,1;;74,0;;71,3;;75,0;;69,9;b
Finland;85,1;;85,0;;82,3;;83,9;;83,9;;87,2;;84,1;;87,6;;85,6;;85,7;b
Sweden;91,3;;87,9;;89,2;;88,6;;91,1;;89,0;;92,1;b;90,3;;88,3;;91,0;b
United Kingdom;79,8;;81,8;;82,1;;83,9;;85,4;;84,4;;86,4;;87,6;;:;;:;
Montenegro;60,5;;56,8;;62,6;;65,7;;71,3;;72,4;;69,7;;72,7;;66,7;;:;
North Macedonia;43,4;;51,1;;51,2;;52,7;;56,8;;56,5;;62,6;;66,3;;67,5;;:;
Serbia;62,5;;65,7;;67,0;b;66,6;;69,4;;68,2;;68,7;;69,6;;72,3;;74,4;b
Turkey;76,1;;77,0;;74,3;b;75,0;;74,6;;76,2;;75,8;;72,9;;70,3;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
