Data extracted on 10/06/2022 14:31:12 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;1 child;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;All ISCED 2011 levels;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);76,0;;75,2;;76,0;;76,8;;77,8;;78,8;;79,7;;79,9;;79,0;;78,2;b
European Union - 28 countries (2013-2020);76,9;;76,1;;76,9;;77,6;;78,8;;79,8;;80,6;;80,8;;:;;:;
European Union - 15 countries (1995-2004);77,9;;76,9;;77,4;;78,0;;79,1;;80,0;;80,9;;80,8;;:;;:;
Euro area - 19 countries  (from 2015);76,5;;75,4;;75,9;;76,6;;77,6;;78,6;;79,5;;79,5;;78,4;;78,7;b
Belgium;75,9;;73,7;;73,1;;73,0;;74,1;;75,3;b;75,6;;75,6;;75,6;;75,0;b
Bulgaria;69,0;;69,8;;71,1;;73,2;;73,5;;75,9;;76,5;;78,6;;75,9;;77,6;b
Czechia;82,1;;83,0;;84,1;;84,8;;86,0;;86,2;;87,0;;85,9;;87,1;;85,4;b
Denmark;82,8;;84,9;;83,8;;83,8;;85,9;b;85,3;b;84,7;;85,5;;85,1;;85,8;b
Germany (until 1990 former territory of the FRG);86,0;b;86,0;;86,0;;85,8;;86,4;;86,4;;87,1;;87,4;;86,4;b;86,0;b
Estonia;77,3;;78,7;;78,8;;82,9;;82,8;;83,4;;85,6;;85,6;;82,7;;83,4;b
Ireland;68,1;;71,0;;73,4;;75,9;;78,3;;78,9;b;79,9;;81,3;;76,1;;80,0;b
Greece;68,8;;66,8;;67,1;;68,2;;70,1;;72,4;;74,2;;76,8;;75,8;;75,4;b
Spain;65,0;;63,9;;65,7;;69,5;;71,4;;73,0;;74,8;;74,3;;70,7;;71,2;bd
France;78,1;;75,9;;77,0;b;75,5;;76,9;;77,9;;78,1;;76,6;;77,9;;78,6;bd
Croatia;68,0;;63,7;;63,6;;64,6;;66,4;;67,9;;69,3;;71,6;;72,7;;72,7;b
Italy;75,3;;73,7;;72,2;;72,9;;73,2;;74,2;;74,7;;75,2;;75,1;;75,3;b
Cyprus;77,9;;72,7;;69,5;;74,5;;75,5;;77,9;;78,4;;81,1;;83,2;;84,2;b
Latvia;70,5;;73,5;;74,6;;77,2;;78,1;;79,9;;78,0;;80,1;;78,0;;76,2;b
Lithuania;68,6;;72,8;;74,7;;75,3;;76,5;;77,6;;80,5;;82,0;;79,5;;81,0;b
Luxembourg;76,9;;75,7;;76,9;;75,9;b;72,1;;71,8;;74,8;;73,8;;73,8;;76,6;b
Hungary;70,5;;71,3;;75,7;;78,4;;79,6;;79,6;;81,1;;81,5;;81,8;;82,7;b
Malta;84,9;;85,2;;85,6;;85,3;;85,7;;84,6;;87,4;;88,8;;87,1;;87,9;b
Netherlands;86,5;;84,6;;85,6;;86,2;;85,5;;86,1;;88,3;;87,7;;85,4;;89,6;b
Austria;84,7;;83,7;;83,4;;82,9;;83,1;;85,5;;84,2;;85,4;;83,8;;84,0;b
Poland;74,2;;74,5;;75,9;;76,7;;78,3;;79,4;;79,9;;81,2;;80,4;;70,3;b
Portugal;72,3;;71,6;;74,3;;75,7;;77,5;;79,5;;81,7;;81,5;;79,3;;78,9;b
Romania;73,2;;73,0;;74,7;;75,2;;75,1;;76,8;;77,5;;78,2;;78,4;;76,7;b
Slovenia;76,8;;75,8;;78,6;;78,5;;80,2;;82,8;;84,1;;84,4;;83,2;;80,1;b
Slovakia;73,6;;71,6;;74,0;;74,4;;77,4;;78,7;;80,1;;80,9;;76,7;;75,0;b
Finland;82,0;;81,8;;81,2;;81,3;;82,0;;82,1;;84,9;;84,8;;83,8;;84,5;b
Sweden;83,5;;82,7;;86,4;;84,9;;86,7;;85,5;;88,1;b;94,0;;89,4;;87,7;b
United Kingdom;83,7;;83,3;;83,8;;84,2;;86,0;;87,0;;87,2;;86,8;;:;;:;
Montenegro;54,1;;56,3;;56,8;;56,7;;58,1;;59,5;;61,9;;65,4;;57,1;;:;
North Macedonia;57,4;;55,3;;56,9;;57,2;;59,2;;61,2;;61,8;;64,4;;62,2;;:;
Serbia;54,7;;58,8;;62,0;b;63,2;;67,1;;67,8;;67,7;;69,8;;68,4;;69,8;b
Turkey;75,1;;75,4;;75,6;b;75,9;;76,6;;77,3;;77,0;;74,5;;72,0;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
