Data extracted on 10/06/2022 14:31:22 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;2 children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Tertiary education (levels 5-8);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);94,4;;94,4;;94,6;b;95,1;;95,3;;95,4;;95,8;;95,9;;95,3;;95,0;b
European Union - 28 countries (2013-2020);94,5;;94,5;;94,9;b;95,2;;95,2;;95,5;;95,8;;95,9;;:;;:;
European Union - 15 countries (1995-2004);94,5;;94,5;;94,9;b;95,1;;95,0;;95,3;;95,6;;95,6;;:;;:;
Euro area - 19 countries  (from 2015);94,2;;94,3;;94,3;b;94,9;;95,0;;95,0;;95,5;;95,4;;94,9;;94,7;b
Belgium;95,2;;94,8;;94,7;b;95,2;;94,7;;95,5;b;94,4;;95,3;;94,7;;94,6;b
Bulgaria;95,0;;90,3;;94,6;b;92,9;;91,7;;93,8;;94,9;;95,8;;93,5;;89,1;b
Czechia;97,6;;98,1;;98,5;b;97,8;;98,4;;98,2;;98,9;;98,4;;97,5;;98,4;b
Denmark;96,7;;95,5;;96,7;b;94,5;;95,8;b;96,7;b;97,3;;97,0;;94,8;;96,9;b
Germany (until 1990 former territory of the FRG);97,3;b;97,5;;97,2;b;97,3;;97,2;;96,9;;96,6;;96,8;;95,5;b;95,6;b
Estonia;95,3;;95,9;;93,8;b;96,3;;93,6;;94,0;;95,9;;95,5;;92,8;;94,2;b
Ireland;89,6;;91,0;;91,9;b;93,3;;92,9;;93,6;b;94,8;;94,8;;92,6;;95,2;b
Greece;90,5;;90,8;;87,8;b;89,8;;91,4;;92,5;;93,5;;93,5;;93,5;;94,9;b
Spain;89,2;;87,8;;89,9;b;91,0;;93,3;;91,9;;94,8;;93,9;;93,6;;92,9;bd
France;94,1;;95,6;b;93,9;b;95,1;;93,9;;94,9;;95,0;;94,7;;93,8;;93,1;bd
Croatia;79,0;;86,7;;88,0;b;88,7;;93,5;;94,8;;94,4;;95,8;;96,7;;94,3;b
Italy;96,0;;96,1;;96,1;b;95,6;;96,0;;96,4;;96,1;;96,9;;97,2;;97,1;b
Cyprus;92,2;;91,8;;92,9;b;93,1;;94,3;;95,2;;96,6;;97,7;;94,5;;94,9;b
Latvia;92,5;;94,8;;94,3;b;95,4;;95,6;;92,4;;88,1;;92,3;;98,7;;89,3;b
Lithuania;93,6;;95,8;;95,8;b;96,3;;95,9;;94,9;;94,4;;95,3;;94,6;;93,2;b
Luxembourg;93,9;;94,7;;95,4;b;93,0;b;95,3;;94,3;;96,1;;91,6;;91,8;;94,2;b
Hungary;96,7;;96,9;;97,2;b;96,2;;97,9;;97,8;;96,1;;97,2;;96,8;;98,1;b
Malta;98,0;;98,2;;97,5;b;95,8;;95,8;;97,2;;98,0;;97,7;;96,8;;94,3;b
Netherlands;96,3;;95,9;b;97,6;b;96,5;;96,8;;96,6;;97,3;;96,1;b;97,4;;97,4;b
Austria;95,8;;95,0;;94,4;b;94,8;;95,1;;94,1;;94,0;;94,7;;95,7;;95,5;b
Poland;95,3;;94,5;;96,4;b;96,7;;96,8;;97,0;;97,3;;97,9;;97,5;;97,6;b
Portugal;92,2;;90,4;;93,8;b;95,9;;96,3;;95,7;;94,7;;95,8;;93,6;;98,4;b
Romania;94,0;;94,5;;91,3;b;95,2;;94,9;;95,6;;97,5;;96,9;;96,3;;93,8;b
Slovenia;96,2;;95,2;;96,9;b;96,9;;96,1;;97,5;;98,3;;99,0;;96,7;;96,1;b
Slovakia;92,3;;92,9;;93,8;b;94,5;;95,2;;96,2;;96,2;;97,0;;95,8;;95,9;b
Finland;94,9;;95,6;;94,4;b;93,5;;94,0;;95,1;;96,0;;95,2;;96,6;;95,8;b
Sweden;95,4;;96,0;;96,6;b;96,7;;95,5;;96,6;;94,3;b;97,4;;95,8;;94,0;b
United Kingdom;95,4;;95,0;;96,6;b;95,7;;94,9;;96,1;;95,9;;96,0;;:;;:;
Montenegro;89,6;;89,0;;86,2;b;82,5;;91,1;;86,8;;88,8;;89,5;;87,7;;:;
North Macedonia;83,7;;82,9;;78,5;b;80,0;;82,0;;86,1;;81,0;;85,9;;81,6;;:;
Serbia;79,8;;79,1;;85,3;b;83,4;;85,7;;87,9;;87,8;;90,5;;89,2;;89,8;b
Turkey;93,2;;93,4;;92,1;b;92,2;;91,4;;90,7;;90,6;;89,6;;88,7;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
