Data extracted on 10/06/2022 14:31:18 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;2 children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;All ISCED 2011 levels;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);84,1;;83,6;;83,9;;85,1;;85,8;;86,6;;87,5;;87,9;;87,3;;85,9;b
European Union - 28 countries (2013-2020);84,6;;84,2;;84,7;;85,8;;86,4;;87,1;;87,9;;88,5;;:;;:;
European Union - 15 countries (1995-2004);85,8;;85,4;;85,7;;86,4;;87,1;;87,6;;88,4;;88,9;;:;;:;
Euro area - 19 countries  (from 2015);84,8;;84,3;;84,4;;85,2;;86,1;;86,6;;87,6;;87,8;;87,1;;86,7;b
Belgium;83,9;;85,5;;84,5;;84,3;;85,4;;86,0;b;85,2;;85,7;;85,5;;85,1;b
Bulgaria;71,3;;73,3;;74,3;;74,9;;76,8;;80,8;;81,5;;82,0;;80,4;;79,0;b
Czechia;92,5;;91,1;;92,5;;91,9;;93,5;;94,8;;93,4;;94,5;;93,4;;93,5;b
Denmark;91,5;;91,5;;90,6;;92,6;;92,8;b;91,6;b;92,1;;91,1;;91,8;;93,6;b
Germany (until 1990 former territory of the FRG);91,2;b;91,3;;91,1;;91,0;;91,1;;91,2;;91,2;;91,4;;90,6;b;90,6;b
Estonia;85,5;;87,1;;85,3;;88,5;;88,3;;86,5;;90,6;;89,0;;88,2;;89,4;b
Ireland;74,4;;78,2;;81,4;;82,2;;84,0;;84,6;b;85,4;;86,0;;85,5;;86,5;b
Greece;78,8;;78,0;;78,7;;80,5;;82,2;;84,7;;85,6;;86,6;;87,7;;81,3;b
Spain;75,9;;73,7;;76,3;;77,6;;80,5;;83,2;;85,1;;85,2;;83,0;;83,7;bd
France;86,6;;86,3;;84,4;b;86,3;;86,7;;85,1;;87,3;;87,2;;86,6;;85,4;bd
Croatia;70,0;;69,7;;72,3;;75,4;;78,4;;78,4;;80,4;;82,1;;84,3;;84,6;b
Italy;83,9;;83,1;;82,6;;82,4;;83,3;;84,4;;84,8;;85,3;;84,3;;84,6;b
Cyprus;86,2;;82,4;;81,9;;82,4;;84,3;;84,7;;90,6;;92,1;;90,6;;93,0;b
Latvia;76,2;;79,7;;79,8;;83,7;;82,8;;86,3;;84,0;;80,1;;84,3;;83,4;b
Lithuania;78,5;;83,5;;83,1;;83,0;;83,5;;85,1;;85,3;;86,6;;84,9;;86,6;b
Luxembourg;89,6;;87,2;;85,2;;86,9;b;86,5;;84,4;;87,2;;83,3;;85,5;;86,6;b
Hungary;78,0;;78,9;;82,1;;84,6;;85,9;;86,4;;87,1;;88,5;;87,8;;89,0;b
Malta;90,4;;91,4;;88,4;;90,0;;92,2;;94,0;;92,6;;93,9;;91,9;;90,6;b
Netherlands;93,0;;90,8;;91,5;;92,4;;92,0;;92,8;;93,4;;92,8;;93,6;;94,1;b
Austria;88,9;;89,2;;89,1;;89,1;;87,6;;88,3;;88,1;;89,1;;89,0;;88,1;b
Poland;80,7;;80,7;;82,3;;84,2;;85,4;;86,3;;87,3;;88,6;;88,1;;78,8;b
Portugal;80,0;;79,1;;82,3;;83,6;;85,2;;86,5;;87,4;;89,6;;88,9;;88,8;b
Romania;78,0;;75,3;;75,6;;79,9;;78,1;;79,1;;81,2;;82,2;;82,2;;76,7;b
Slovenia;87,5;;86,2;;88,1;;89,8;;90,3;;92,2;;92,9;;92,9;;91,5;;87,8;b
Slovakia;80,5;;81,5;;82,5;;85,7;;83,7;;83,8;;87,3;;85,7;;84,5;;83,1;b
Finland;88,9;;90,2;;88,4;;87,2;;88,6;;90,6;;90,9;;90,2;;90,9;;89,9;b
Sweden;92,1;;92,5;;92,3;;93,1;;92,0;;95,0;;93,8;b;95,0;;94,1;;92,8;b
United Kingdom;88,2;;88,1;;89,8;;90,1;;90,1;;90,0;;90,7;;92,0;;:;;:;
Montenegro;66,8;;65,4;;68,7;;68,9;;69,6;;72,9;;75,1;;74,5;;69,8;;:;
North Macedonia;62,0;;64,2;;67,6;;64,9;;67,2;;67,5;;69,0;;70,2;;68,3;;:;
Serbia;65,3;;68,4;;71,5;b;72,1;;73,1;;75,6;;77,1;;79,1;;79,4;;78,0;b
Turkey;83,0;;83,7;;81,7;b;82,5;;81,5;;81,9;;82,3;;79,5;;77,1;;:;
;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;
bd;break in time series, definition differs (see metadata);;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;
