Data extracted on 10/06/2022 14:31:19 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%) [LFST_HHEREDCH__custom_2894982];;;;;;;;;;;;;;;;;;;
Last updated: ;12/05/2022 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Sex;;Males;;;;;;;;;;;;;;;;;;
Age class;;18 years or over;;;;;;;;;;;;;;;;;;
Number of children;;2 children;;;;;;;;;;;;;;;;;;
Age of the child;;Total;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Less than primary, primary and lower secondary education (levels 0-2);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);68,2;;67,1;;66,5;b;68,2;;69,1;;70,5;;72,3;;72,5;;71,2;;71,1;b
European Union - 28 countries (2013-2020);68,8;;68,4;;67,9;b;69,7;;71,0;;71,7;;74,0;;74,2;;:;;:;
European Union - 15 countries (1995-2004);72,2;;71,6;;71,0;b;72,1;;73,7;;74,3;;76,6;;76,6;;:;;:;
Euro area - 19 countries  (from 2015);71,4;;70,1;;69,4;b;70,5;;71,4;;72,9;;74,9;;74,6;;73,3;;73,5;b
Belgium;66,0;;67,3;;63,0;b;60,8;;65,2;;66,7;b;63,4;;64,3;;64,5;;63,8;b
Bulgaria;41,2;;45,4;;44,2;b;48,1;;53,4;;54,7;;58,5;;59,6;;57,4;;58,2;b
Czechia;42,6;;52,9;;49,1;b;42,9;;50,6;;57,1;;61,0;;61,8;;53,1;;58,9;b
Denmark;79,7;;77,3;;66,2;b;79,2;;78,7;b;71,8;b;80,9;;67,7;;78,2;;80,5;b
Germany (until 1990 former territory of the FRG);71,9;b;73,2;;70,0;b;70,2;;70,3;;69,4;;70,4;;72,3;;71,3;b;73,3;b
