"time","_geo","geo","value","unit","_unit","age","_age","wstatus","_wstatus","sex","_sex","deg_urb","_deg_urb","_flag"
2005,"AT","Austria",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2006,"AT","Austria",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"AT","Austria",7.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2008,"AT","Austria",5.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2009,"AT","Austria",4.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"AT","Austria",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"AT","Austria",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2012,"AT","Austria",3.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2013,"AT","Austria",3.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2014,"AT","Austria",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","bu"
2015,"AT","Austria",3.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2016,"AT","Austria",2.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2017,"AT","Austria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2018,"AT","Austria",3.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2019,"AT","Austria",3.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2020,"AT","Austria",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
2005,"BE","Belgium",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2006,"BE","Belgium",3.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2007,"BE","Belgium",5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2008,"BE","Belgium",4.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2009,"BE","Belgium",3.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2010,"BE","Belgium",4.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2011,"BE","Belgium",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1",
2012,"BE","Belgium",3.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","b"
2013,"BE","Belgium",2.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Women","W","Cities","DEG1","u"
