"time","_geo","geo","value","unit","_unit","isced11","_isced11","mgstatus","_mgstatus","age","_age","sex","_sex"
2014,"AT","Austria",14.5,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"AT","Austria",9.9,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"BE","Belgium",11.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"BE","Belgium",9,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"BG","Bulgaria",32.2,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"BG","Bulgaria",30.6,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"CH","Switzerland",22.5,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"CH","Switzerland",20.2,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"CY","Cyprus",39.9,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"CY","Cyprus",39.2,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"CZ","Czech Republic",22.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"CZ","Czech Republic",20.2,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"DE","Germany",12.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"DE","Germany",8.6,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"EE","Estonia",14.9,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"EE","Estonia",11.9,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"EL","Greece",13.7,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"EL","Greece",11.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"ES","Spain",52,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"ES","Spain",48.8,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"FI","Finland",14.3,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"FI","Finland",12.2,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"FR","France",19.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"FR","France",18,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"HR","Croatia",11.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
2014,"HR","Croatia",11.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Men","M"
2014,"HU","Hungary",9.4,"Percentage","PC","All ISCED 2011 levels","TOTAL","Total","TOTAL","From 15 to 64 years","Y15-64","Women","W"
