"time","_geo","geo","value","unit","_unit","sex","_sex","reason","_reason","_flag"
2016,"AL","Albania",64.6,"Percentage","PC","Women","W","Costs","COST",
2007,"AT","Austria",33.4,"Percentage","PC","Women","W","Costs","COST",
2011,"AT","Austria",30,"Percentage","PC","Women","W","Costs","COST",
2016,"AT","Austria",36,"Percentage","PC","Women","W","Costs","COST",
2016,"BA","Bosnia and Herzegovina",53.7,"Percentage","PC","Women","W","Costs","COST",
2011,"BE","Belgium",14.1,"Percentage","PC","Women","W","Costs","COST",
2016,"BE","Belgium",19.8,"Percentage","PC","Women","W","Costs","COST",
2007,"BG","Bulgaria",51.8,"Percentage","PC","Women","W","Costs","COST",
2011,"BG","Bulgaria",50.2,"Percentage","PC","Women","W","Costs","COST",
2016,"BG","Bulgaria",38,"Percentage","PC","Women","W","Costs","COST",
2007,"CH","Switzerland",38.9,"Percentage","PC","Women","W","Costs","COST",
2011,"CH","Switzerland",44.3,"Percentage","PC","Women","W","Costs","COST",
2016,"CH","Switzerland",46.5,"Percentage","PC","Women","W","Costs","COST",
2007,"CY","Cyprus",17.5,"Percentage","PC","Women","W","Costs","COST",
2011,"CY","Cyprus",27.2,"Percentage","PC","Women","W","Costs","COST",
2016,"CY","Cyprus",37,"Percentage","PC","Women","W","Costs","COST",
2007,"CZ","Czech Republic",21.1,"Percentage","PC","Women","W","Costs","COST",
2011,"CZ","Czech Republic",27.8,"Percentage","PC","Women","W","Costs","COST",
2016,"CZ","Czech Republic",25.2,"Percentage","PC","Women","W","Costs","COST",
2007,"DE","Germany",42.2,"Percentage","PC","Women","W","Costs","COST",
2011,"DE","Germany",36.9,"Percentage","PC","Women","W","Costs","COST",
2016,"DE","Germany",37.8,"Percentage","PC","Women","W","Costs","COST",
2011,"DK","Denmark",28.3,"Percentage","PC","Women","W","Costs","COST",
2016,"DK","Denmark",23.8,"Percentage","PC","Women","W","Costs","COST",
2007,"EA19","Euro area (19 countries)",27.5,"Percentage","PC","Women","W","Costs","COST",
2011,"EA19","Euro area (19 countries)",34.3,"Percentage","PC","Women","W","Costs","COST","b"
2016,"EA19","Euro area (19 countries)",36.4,"Percentage","PC","Women","W","Costs","COST",
2007,"EE","Estonia",48.4,"Percentage","PC","Women","W","Costs","COST",
2011,"EE","Estonia",47.1,"Percentage","PC","Women","W","Costs","COST",
2007,"EL","Greece",33.1,"Percentage","PC","Women","W","Costs","COST",
2011,"EL","Greece",42.5,"Percentage","PC","Women","W","Costs","COST",
2016,"EL","Greece",46.6,"Percentage","PC","Women","W","Costs","COST",
2007,"ES","Spain",12.4,"Percentage","PC","Women","W","Costs","COST",
2011,"ES","Spain",18,"Percentage","PC","Women","W","Costs","COST",
2016,"ES","Spain",43.8,"Percentage","PC","Women","W","Costs","COST",
2007,"EU27_2020","European Union - 27 countries (from 2020)",33.5,"Percentage","PC","Women","W","Costs","COST",
2011,"EU27_2020","European Union - 27 countries (from 2020)",34.9,"Percentage","PC","Women","W","Costs","COST","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",34.5,"Percentage","PC","Women","W","Costs","COST",
2007,"EU28","European Union - 28 countries (1993-2020)",34.9,"Percentage","PC","Women","W","Costs","COST",
2011,"EU28","European Union - 28 countries (1993-2020)",34.9,"Percentage","PC","Women","W","Costs","COST","b"
2016,"EU28","European Union - 28 countries (1993-2020)",37.9,"Percentage","PC","Women","W","Costs","COST",
2007,"FI","Finland",28,"Percentage","PC","Women","W","Costs","COST",
2011,"FI","Finland",23.8,"Percentage","PC","Women","W","Costs","COST",
2016,"FI","Finland",28.5,"Percentage","PC","Women","W","Costs","COST",
2011,"FR","France",31,"Percentage","PC","Women","W","Costs","COST","b"
2016,"FR","France",28.5,"Percentage","PC","Women","W","Costs","COST",
2007,"HR","Croatia",50.5,"Percentage","PC","Women","W","Costs","COST",
2016,"HR","Croatia",46.2,"Percentage","PC","Women","W","Costs","COST",
2007,"HU","Hungary",43.6,"Percentage","PC","Women","W","Costs","COST",
2011,"HU","Hungary",54.1,"Percentage","PC","Women","W","Costs","COST","b"
2016,"HU","Hungary",47.3,"Percentage","PC","Women","W","Costs","COST",
2016,"IE","Ireland",26.7,"Percentage","PC","Women","W","Costs","COST","b"
2007,"IT","Italy",30,"Percentage","PC","Women","W","Costs","COST",
2011,"IT","Italy",44.8,"Percentage","PC","Women","W","Costs","COST",
2016,"IT","Italy",40.9,"Percentage","PC","Women","W","Costs","COST",
2007,"LT","Lithuania",44.5,"Percentage","PC","Women","W","Costs","COST",
2011,"LT","Lithuania",55.4,"Percentage","PC","Women","W","Costs","COST",
2016,"LT","Lithuania",45.5,"Percentage","PC","Women","W","Costs","COST",
2011,"LU","Luxembourg",23.1,"Percentage","PC","Women","W","Costs","COST",
2016,"LU","Luxembourg",25.2,"Percentage","PC","Women","W","Costs","COST","b"
2007,"LV","Latvia",45.2,"Percentage","PC","Women","W","Costs","COST",
2011,"LV","Latvia",57.9,"Percentage","PC","Women","W","Costs","COST",
2016,"LV","Latvia",59.5,"Percentage","PC","Women","W","Costs","COST",
2016,"MK","North Macedonia",71.4,"Percentage","PC","Women","W","Costs","COST",
2011,"MT","Malta",18.9,"Percentage","PC","Women","W","Costs","COST",
2016,"MT","Malta",19.9,"Percentage","PC","Women","W","Costs","COST",
2007,"NL","Netherlands",28.9,"Percentage","PC","Women","W","Costs","COST",
2011,"NL","Netherlands",50,"Percentage","PC","Women","W","Costs","COST",
2007,"NO","Norway",16,"Percentage","PC","Women","W","Costs","COST",
2007,"PL","Poland",55.5,"Percentage","PC","Women","W","Costs","COST",
2011,"PL","Poland",39.2,"Percentage","PC","Women","W","Costs","COST",
2016,"PL","Poland",22.3,"Percentage","PC","Women","W","Costs","COST",
2007,"PT","Portugal",30,"Percentage","PC","Women","W","Costs","COST",
2011,"PT","Portugal",21.2,"Percentage","PC","Women","W","Costs","COST",
2016,"PT","Portugal",41.5,"Percentage","PC","Women","W","Costs","COST",
2007,"RO","Romania",59.2,"Percentage","PC","Women","W","Costs","COST",
2011,"RO","Romania",53.9,"Percentage","PC","Women","W","Costs","COST",
2016,"RO","Romania",41,"Percentage","PC","Women","W","Costs","COST",
2011,"RS","Serbia",51.3,"Percentage","PC","Women","W","Costs","COST",
2016,"RS","Serbia",60,"Percentage","PC","Women","W","Costs","COST",
2007,"SE","Sweden",26.7,"Percentage","PC","Women","W","Costs","COST",
2011,"SE","Sweden",24.3,"Percentage","PC","Women","W","Costs","COST",
2016,"SE","Sweden",21,"Percentage","PC","Women","W","Costs","COST","b"
2007,"SI","Slovenia",52.1,"Percentage","PC","Women","W","Costs","COST",
2016,"SI","Slovenia",40.9,"Percentage","PC","Women","W","Costs","COST",
2016,"SK","Slovakia",37.4,"Percentage","PC","Women","W","Costs","COST",
2007,"TR","Turkey",38.6,"Percentage","PC","Women","W","Costs","COST",
2011,"TR","Turkey",14.2,"Percentage","PC","Women","W","Costs","COST",
2016,"TR","Turkey",19.2,"Percentage","PC","Women","W","Costs","COST",
2007,"UK","United Kingdom",38.1,"Percentage","PC","Women","W","Costs","COST",
2016,"UK","United Kingdom",55.5,"Percentage","PC","Women","W","Costs","COST","b"
2016,"AL","Albania",29.7,"Percentage","PC","Women","W","Distance","DST",
2007,"AT","Austria",23.8,"Percentage","PC","Women","W","Distance","DST",
2011,"AT","Austria",27.4,"Percentage","PC","Women","W","Distance","DST",
2016,"AT","Austria",23.7,"Percentage","PC","Women","W","Distance","DST",
2016,"BA","Bosnia and Herzegovina",36.4,"Percentage","PC","Women","W","Distance","DST",
2011,"BE","Belgium",11.8,"Percentage","PC","Women","W","Distance","DST",
2016,"BE","Belgium",14.3,"Percentage","PC","Women","W","Distance","DST",
2007,"BG","Bulgaria",28.8,"Percentage","PC","Women","W","Distance","DST",
2011,"BG","Bulgaria",20.5,"Percentage","PC","Women","W","Distance","DST",
2016,"BG","Bulgaria",20.7,"Percentage","PC","Women","W","Distance","DST",
2011,"CH","Switzerland",21.2,"Percentage","PC","Women","W","Distance","DST",
2016,"CH","Switzerland",18.8,"Percentage","PC","Women","W","Distance","DST",
2007,"CY","Cyprus",14.9,"Percentage","PC","Women","W","Distance","DST",
2011,"CY","Cyprus",9,"Percentage","PC","Women","W","Distance","DST",
2016,"CY","Cyprus",15.8,"Percentage","PC","Women","W","Distance","DST",
2007,"CZ","Czech Republic",16,"Percentage","PC","Women","W","Distance","DST",
2011,"CZ","Czech Republic",12,"Percentage","PC","Women","W","Distance","DST",
2016,"CZ","Czech Republic",13.4,"Percentage","PC","Women","W","Distance","DST",
2007,"DE","Germany",24.4,"Percentage","PC","Women","W","Distance","DST","u"
2011,"DE","Germany",15.8,"Percentage","PC","Women","W","Distance","DST",
2016,"DE","Germany",16.9,"Percentage","PC","Women","W","Distance","DST",
2011,"DK","Denmark",4.5,"Percentage","PC","Women","W","Distance","DST","u"
2016,"DK","Denmark",4.4,"Percentage","PC","Women","W","Distance","DST","u"
2007,"EA19","Euro area (19 countries)",17.9,"Percentage","PC","Women","W","Distance","DST",
2011,"EA19","Euro area (19 countries)",16.9,"Percentage","PC","Women","W","Distance","DST","b"
2016,"EA19","Euro area (19 countries)",18.8,"Percentage","PC","Women","W","Distance","DST",
2007,"EE","Estonia",32,"Percentage","PC","Women","W","Distance","DST",
2011,"EE","Estonia",21.8,"Percentage","PC","Women","W","Distance","DST",
2007,"EL","Greece",17.3,"Percentage","PC","Women","W","Distance","DST",
2011,"EL","Greece",18.2,"Percentage","PC","Women","W","Distance","DST",
2016,"EL","Greece",26.7,"Percentage","PC","Women","W","Distance","DST",
2007,"ES","Spain",8.5,"Percentage","PC","Women","W","Distance","DST",
2011,"ES","Spain",5.2,"Percentage","PC","Women","W","Distance","DST",
2016,"ES","Spain",21.7,"Percentage","PC","Women","W","Distance","DST",
2007,"EU27_2020","European Union - 27 countries (from 2020)",20.4,"Percentage","PC","Women","W","Distance","DST",
2011,"EU27_2020","European Union - 27 countries (from 2020)",16.1,"Percentage","PC","Women","W","Distance","DST","b"
2016,"EU27_2020","European Union - 27 countries (from 2020)",17.1,"Percentage","PC","Women","W","Distance","DST",
2007,"EU28","European Union - 28 countries (1993-2020)",21.9,"Percentage","PC","Women","W","Distance","DST",
