"time","_geo","geo","value","unit","_unit","sex","_sex","training","_training","_flag"
2016,"AL","Albania",53.9,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"AT","Austria",50.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"AT","Austria",42.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"AT","Austria",58.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"BA","Bosnia and Herzegovina",56,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"BE","Belgium",38.3,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"BE","Belgium",38.8,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"BG","Bulgaria",32.8,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"BG","Bulgaria",22,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"BG","Bulgaria",20.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"CH","Switzerland",45.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"CH","Switzerland",47.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"CY","Cyprus",34.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"CY","Cyprus",38.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"CY","Cyprus",30.1,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"CZ","Czech Republic",43.5,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"CZ","Czech Republic",37.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2007,"DE","Germany",26,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"DE","Germany",34.7,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2016,"DE","Germany",29.4,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
2011,"DK","Denmark",66.2,"Percentage","PC","Women","W","Formal and non-formal education and training","FE_NFE",
