DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2014,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2015,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2016,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2017,1.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2018,1.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2019,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AL,2020,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2009,0.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2010,0.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2011,1.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2015,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2016,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2018,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AM,2019,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2009,2.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2010,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2011,2.1,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2012,2.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2013,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2014,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2015,1.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2016,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2017,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2018,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2019,1.8,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AT,2020,1.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2009,0.9,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2010,1.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2011,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2012,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2013,1.2,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2014,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2015,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2016,1.3,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2017,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2018,1.5,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,AZ,2019,1.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BA,2009,0.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BA,2010,0.4,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BA,2012,0.6,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BE,2009,3.0,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BE,2010,2.7,
ESTAT:TPS00206(1.0),18/05/22 23:00:00,A,GDIVRT,BE,2011,2.5,
