DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AM,2009,25.5,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AM,2015,26.8,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AM,2017,26.7,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AM,2018,26.7,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2009,29.9,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2011,30.3,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2012,30.6,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2013,30.7,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2014,30.9,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2015,31.2,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2016,31.3,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2017,31.5,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2018,31.7,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AT,2019,32.0,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AZ,2009,24.3,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AZ,2014,24.4,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AZ,2017,23.9,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AZ,2018,23.8,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,AZ,2019,24.0,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,BE,2009,29.3,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,BE,2010,29.4,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,BE,2011,,b
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,BE,2017,31.2,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,BE,2020,32.0,
ESTAT:TPS00014(1.0),18/05/22 23:00:00,A,FAGEMAR1,BG,2009,26.2,
