Country;EU Sub-Region;;;
Austria;Western Europe;;;
Belgium;Western Europe;;;
Bulgaria;Central and Eastern Europe;;;
Croatia;Central and Eastern Europe;;;
Cyprus;Southern Europe;;;
Czech Republic;Central and Eastern Europe;;;
Denmark;Northern Europe;;;
Estonia;Northern Europe;;;
Finland;Northern Europe;;;
France;Western Europe;;;
Germany;Western Europe;;;
Greece;Southern Europe;;;
Hungary;Central and Eastern Europe;;;
Ireland;Western Europe;;;
Italy;Southern Europe;;;
Latvia;Northern Europe;;;
Lithuania;Northern Europe;;;
Luxembourg;Western Europe;;;
Malta;Southern Europe;;;
Netherlands;Western Europe;;;
Poland;Central and Eastern Europe;;;
Portugal;Southern Europe;;;
Romania;Central and Eastern Europe;;;
Slovakia;Central and Eastern Europe;;;
Slovenia;Southern Europe;;;
Spain;Southern Europe;;;
Sweden;Northern Europe;;;
