Life expectancy by age and sex [demo_mlexpec];;;;;;;;;;
;;;;;;;;;;
Last update;05.05.22;;;;;;;;;
Extracted on;24.05.22;;;;;;;;;
Source of data;Eurostat;;;;;;;;;
;;;;;;;;;;
SEX;Females;;;;;;;;;
AGE;Less than 1 year;;;;;;;;;
UNIT;Year;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
European Union - 27 countries (from 2020);83,1;83,3;83,7;83,3;83,7;83,6;83,7;84,0;83,2;82,8
European Union - 28 countries (2013-2020);83,0;83,3;83,6;83,3;83,7;83,6;83,6;:;:;:
European Union - 27 countries (2007-2013);83,1;83,3;83,7;83,3;83,7;83,6;83,7;:;:;:
Euro area - 19 countries  (from 2015);84,0;84,3;84,7;84,2;84,6;84,5;84,6;84,9;84,1;:
Euro area - 18 countries (2014);84,1;84,3;84,7;84,2;84,7;84,5;84,6;84,9;84,2;:
Belgium;83,1;83,2;83,9;83,4;84,0;83,9;83,9;84,3;83,0;84,4
Bulgaria;77,9;78,6;78,0;78,2;78,5;78,4;78,6;78,8;77,5;75,1
Czechia;81,2;81,3;82,0;81,6;82,1;82,0;82,0;82,2;81,3;80,6
Denmark;82,1;82,4;82,8;82,7;82,8;83,1;82,9;83,5;83,6;83,3
Germany (until 1990 former territory of the FRG);83,1;83,0;83,6;83,1;83,5;83,4;83,3;83,7;83,5;:
Germany including former GDR;83,1;83,0;83,6;83,1;83,5;83,4;83,3;83,7;83,5;:
Estonia;81,5;81,7;81,9;82,2;82,2;82,6;82,7;83,0;83,0;81,3
Ireland;83,1;83,1;83,5;83,4;83,6;84,0;84,1;84,7;84,4;:
Greece;83,4;84,0;84,1;83,7;84,0;83,9;84,4;84,2;83,9;83,0
Spain;85,5;86,1;86,2;85,7;86,3;86,1;86,3;86,7;85,2;86,2
France;85,4;85,6;86,1;85,6;85,8;85,7;85,8;85,9;85,3;85,5
France (metropolitan);85,4;:;:;:;:;:;:;:;:;:
Croatia;80,6;81,0;81,0;80,5;81,3;81,0;81,5;81,6;80,9;79,9
Italy;84,8;85,2;85,6;84,9;85,6;85,2;85,6;85,7;84,5;85,1
Cyprus;83,4;85,0;84,3;83,7;84,9;84,2;84,8;84,4;84,4;83,9
Latvia;78,9;78,9;79,4;79,5;79,6;79,7;79,7;80,1;80,0;78,2
Lithuania;79,6;79,6;80,1;79,7;80,1;80,5;80,7;81,2;80,1;79,0
Luxembourg;83,8;83,9;85,2;84,7;85,4;84,4;84,6;85,2;84,5;84,9
Hungary;78,7;79,1;79,4;79,0;79,7;79,3;79,6;79,7;79,0;78,0
Malta;83,0;84,0;84,3;84,1;84,4;84,6;84,6;84,6;84,5;84,5
Netherlands;83,0;83,2;83,5;83,2;83,2;83,4;83,4;83,7;83,1;83,1
Austria;83,6;83,8;84,0;83,7;84,1;84,0;84,1;84,2;83,6;83,8
Poland;81,1;81,2;81,7;81,6;82,0;81,8;81,7;81,9;80,7;79,7
Portugal;83,6;84,0;84,4;84,3;84,3;84,6;84,5;84,8;84,1;84,3
Romania;78,1;78,7;78,7;78,6;79,0;79,0;79,2;79,5;78,3;76,7
Slovenia;83,3;83,6;84,1;83,9;84,3;84,0;84,4;84,5;83,4;84,0
Slovakia;79,9;80,1;80,5;80,2;80,7;80,7;80,8;81,2;80,4;78,3
Finland;83,7;84,1;84,1;84,4;84,4;84,5;84,5;84,8;84,8;84,7
Sweden;83,6;83,8;84,2;84,1;84,1;84,1;84,3;84,8;84,2;85,0
European Economic Area (EU28 - 2013-2020 and IS, LI, NO);83,1;83,3;83,6;83,3;83,7;83,6;83,6;:;:;:
European Economic Area (EU27 - 2007-2013 and IS, LI, NO);83,1;83,3;83,7;83,3;83,7;83,6;83,7;:;:;:
European Free Trade Association;84,4;84,5;85,0;84,8;85,0;85,1;85,2;85,4;85,0;:
Iceland;84,3;83,7;84,5;83,8;84,1;84,3;84,5;84,7;84,6;84,5
Liechtenstein;85,2;83,9;83,2;84,5;84,0;86,0;85,5;85,8;83,4;86,4
Norway;83,5;83,8;84,2;84,2;84,2;84,3;84,5;84,7;84,9;84,7
Switzerland;84,9;85,0;85,4;85,1;85,6;85,6;85,7;85,8;85,1;85,9
United Kingdom;82,8;82,9;83,2;82,8;83,0;83,1;83,1;:;:;:
Montenegro;78,3;79,0;78,9;78,6;78,9;79,2;79,3;79,5;78,8;:
North Macedonia;76,9;77,5;77,5;77,4;77,5;77,9;78,8;78,6;76,7;:
Albania;:;80,1;80,1;79,7;80,1;80,1;80,5;80,7;79,6;:
Serbia;77,5;77,9;78,0;77,9;78,3;78,1;78,4;78,6;77,5;:
Turkey;80,5;81,1;80,9;81,0;81,0;81,3;81,6;81,8;:;:
Belarus;77,8;78,0;78,6;79,0;79,2;79,3;79,5;:;:;:
Kosovo (under United Nations Security Council Resolution 1244/99);:;:;:;:;81,6;:;:;:;:;:
Moldova;74,9;:;:;:;:;:;:;:;:;:
Russia;:;:;:;:;:;:;:;:;:;:
San Marino;86,8;:;:;:;:;:;:;:;:;:
Ukraine;76,1;:;76,7;77,3;77,6;78,0;78,0;78,3;:;:
Armenia;:;:;:;78,2;78,4;78,9;79,7;79,7;:;:
Azerbaijan;76,6;77,1;77,3;77,7;:;77,9;78,3;78,9;:;:
Georgia;:;:;78,2;77,4;77,2;77,8;78,2;78,4;:;:
;;;;;;;;;;
Special value:;;;;;;;;;;
:;not available;;;;;;;;;
