																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	Employment by sex (%)																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																															
	Proportion - %																																																																																																																																																																																																																																																														
Years	Sex																																																																																																																																																																																																																																																														
	Total																																		Males																																		Females																																																																																																																																																																																										
	EU27 (2020) - European Union 27 (since 2020)	EU28 - European Union (28 countries)	EA19 - Euro Area (19 countries)	DE - Germany	AT - Austria	BE - Belgium	BG - Bulgaria	CY - Cyprus	HR - Croatia	DK - Denmark	SK - Slovakia	SI - Slovenia	ES - Spain	EE - Estonia	FI - Finland	FR - France	GR - Greece	HU - Hungary	IE - Ireland	IT - Italy	LV - Latvia	LT - Lithuania	LU - Luxembourg	MT - Malta	NL - Netherlands	PL - Poland	PT - Portugal	CZ - Czech Republic	RO - Romania	SE - Sweden	IS - Iceland	NO - Norway	UK - United Kingdom	CH - Switzerland	EU27 (2020) - European Union 27 (since 2020)	EU28 - European Union (28 countries)	EA19 - Euro Area (19 countries)	DE - Germany	AT - Austria	BE - Belgium	BG - Bulgaria	CY - Cyprus	HR - Croatia	DK - Denmark	SK - Slovakia	SI - Slovenia	ES - Spain	EE - Estonia	FI - Finland	FR - France	GR - Greece	HU - Hungary	IE - Ireland	IT - Italy	LV - Latvia	LT - Lithuania	LU - Luxembourg	MT - Malta	NL - Netherlands	PL - Poland	PT - Portugal	CZ - Czech Republic	RO - Romania	SE - Sweden	IS - Iceland	NO - Norway	UK - United Kingdom	CH - Switzerland	EU27 (2020) - European Union 27 (since 2020)	EU28 - European Union (28 countries)	EA19 - Euro Area (19 countries)	DE - Germany	AT - Austria	BE - Belgium	BG - Bulgaria	CY - Cyprus	HR - Croatia	DK - Denmark	SK - Slovakia	SI - Slovenia	ES - Spain	EE - Estonia	FI - Finland	FR - France	GR - Greece	HU - Hungary	IE - Ireland	IT - Italy	LV - Latvia	LT - Lithuania	LU - Luxembourg	MT - Malta	NL - Netherlands	PL - Poland	PT - Portugal	CZ - Czech Republic	RO - Romania	SE - Sweden	IS - Iceland	NO - Norway	UK - United Kingdom	CH - Switzerland																																																																																																																																																									
1999	x	x	x	 100,0	 100,0	_  100,0	x	 100,0	x	 100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	x	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	_  100,0	 100,0	x	x	x	 56,4	 56,1	_  57,8	x	 59,5	x	 53,9	_  54,5	 54,0	 64,3	 50,6	 52,4	 55,1	 63,2	 55,0	 59,7	 63,6	 52,1	 50,4	 61,0	x	 57,6	 54,6	 55,0	 56,1	 52,7	 52,4	 53,5	 53,1	_  54,3	 55,9	x	x	x	 43,6	 43,9	_  42,2	x	 40,5	x	 46,1	_  45,5	 46,0	 35,7	 49,4	 47,6	 44,9	 36,8	 45,0	 40,3	 36,4	 47,9	 49,6	 39,0	x	 42,4	 45,4	 45,0	 43,9	 47,3	 47,6	 46,5	 46,9	_  45,7	 44,1																																																																																																																																																									
2000	x	x	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	x	 100,0	 100,0	 100,0	 100,0	_  100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	x	x	 58,0	 56,2	 56,0	 57,7	 53,3	 58,5	x	 53,4	 54,0	 53,8	 63,3	_  50,2	_  52,6	 55,0	 62,9	 54,9	 59,4	 63,2	 51,5	 49,1	 60,6	 69,6	 57,2	_  54,9	 55,0	 56,1	 52,8	 52,1	 53,2	 53,2	 54,3	 56,0	x	x	 42,0	 43,8	 44,0	 42,3	 46,7	 41,6	x	 46,6	 46,0	 46,2	 36,7	_  49,8	_  47,4	 45,0	 37,1	 45,1	 40,6	 36,8	 48,5	 50,9	 39,4	 30,4	 42,8	_  45,1	 45,0	 43,9	 47,2	 47,9	 46,8	 46,8	 45,7	 44,0																																																																																																																																																									
2001	x	x	 100,0	 100,0	 100,0	_  100,0	_  100,0	 100,0	x	 100,0	 100,0	 100,0	_  100,0	 100,0	 100,0	 100,0	_  100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	_  100,0	 100,0	 100,0	 100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	x	x	 57,8	 55,8	 55,8	_  57,9	_  52,3	 56,9	x	 53,6	 53,8	 54,4	_  63,0	 51,4	 52,3	 55,1	_  63,0	_  54,7	 59,2	 62,5	 50,1	 49,0	 60,0	 70,3	 56,7	_  54,6	 54,9	 56,1	 52,9	_  52,2	 53,6	 53,1	 54,2	 55,6	x	x	 42,2	 44,2	 44,2	_  42,1	_  47,7	 43,1	x	 46,4	 46,2	 45,6	_  37,0	 48,7	 47,7	 44,9	_  37,0	_  45,3	 40,8	 37,5	 49,9	 51,0	 40,0	 29,7	 43,3	_  45,4	 45,1	 43,9	 47,1	_  47,8	 46,3	 46,9	 45,8	 44,4																																																																																																																																																									
2002	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	_  100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 100,0	_  100,0	 100,0	 100,0	 100,0	 100,0	 100,0	 56,6	 56,2	 57,4	 55,4	 54,8	 57,5	 52,5	 56,1	 55,6	 53,2	 54,2	 54,2	 62,0	 50,4	 51,7	 54,7	 62,6	 54,6	 58,3	 62,3	_  50,3	_  50,9	 59,9	 69,1	 56,5	 54,4	 54,7	 56,3	_  53,7	 52,1	 53,1	 52,8	 54,0	 54,9	 43,4	 43,8	 42,6	 44,6	 45,2	 42,5	 47,5	 44,0	 44,4	 46,8	 45,8	 45,8	 38,0	 49,6	 48,3	 45,3	 37,4	 45,4	 41,7	 37,7	_  49,7	_  49,1	 40,1	 31,0	 43,5	 45,6	 45,3	 43,7	_  46,3	 47,9	 46,9	 47,2	 46,0	 45,1																																																																																																																																																									
