Data extracted on 23/05/2022 13:21:34 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Gender pay gap in unadjusted form by NACE Rev. 2 activity - structure of earnings survey methodology [EARN_GR_GPGR2];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/02/2022 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistical classification of economic activities in the European Community (NACE Rev. 2);;Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 28 countries (2013-2020);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area - 19 countries  (from 2015);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Bulgaria;10,6;;11,4;;12,5;;12,3;;12,2;;14,0;;12,7;;12,9;;14,5;;13,8;;13,8;;13,6;;13,7;p;12,3;p
Czechia;23,3;;25,4;;25,0;;20,9;;21,8;;21,7;;21,3;;21,6;;21,5;d;20,7;d;20,3;d;19,5;d;18,7;d;16,1;d
Denmark;17,3;;15,1;;15,7;;16,8;;16,0;;16,4;;16,2;;15,7;;14,7;;14,7;;14,5;;14,3;;13,6;;13,4;
Germany (until 1990 former territory of the FRG);:;;:;;:;;20,8;;20,9;;21,5;;20,8;;21,1;;20,6;;20,1;;19,4;;19,0;;18,3;p;17,3;p
Estonia;29,5;;26,6;;25,4;;26,1;;25,8;;28,2;;28,2;;26,4;;24,8;;23,4;;23,7;;20,7;;20,6;p;19,5;p
Ireland;17,6;;12,5;;12,3;;13,3;;13,1;;12,6;;13,1;;14,1;;14,2;p;14,3;p;14,6;p;11,4;;:;;:;
Greece;:;;:;;:;;15,0;;:;;:;;:;;:;;:;;:;;:;;7,4;p;:;;:;
Spain;:;;15,4;;15,8;;15,3;;16,8;;17,8;;17,2;;14,0;;12,9;;13,8;;12,6;;11,2;;8,5;;8,5;p
France;:;;:;;:;;15,5;;15,0;;15,0;;15,2;;15,4;;15,5;;15,6;;15,8;;16,1;;15,7;p;15,3;p
Croatia;:;;:;;:;;5,5;;:;;:;;8,8;;8,6;;:;;11,6;;12,1;;10,9;;11,0;p;10,8;p
Italy;:;;:;;:;;:;;:;;:;;:;;7,4;;:;;:;;:;;6,2;;5,9;p;5,5;p
Cyprus;21,7;;19,6;;18,0;;16,6;;16,1;;15,5;;14,9;;14,4;;13,5;;12,6;;11,5;;11,0;;10,8;p;9,5;p
Latvia;:;;:;;:;;13,2;;12,0;;13,0;;14,2;;15,8;;16,3;;17,8;;17,9;;17,6;;19,4;p;20,4;p
Lithuania;21,2;;20,5;;15,0;;12;b;11,3;;11,4;;11,5;;12,4;;13,0;;13,5;;14,3;;13,2;;12,4;p;12,1;p
Luxembourg;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;2,9;;1,6;;1,2;p;0,8;p
Hungary;16,1;;16,7;;15,5;;15,9;;15,9;;17,0;;15,8;;13,7;;12,9;;14,3;;15,1;b;13,7;;16,6;b;15,6;
Malta;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;11,8;;:;;:;
Netherlands;19,7;;19,3;;18,9;;18,0;;18,1;;17,5;;16,6;;16,4;;15,3;;14,8;;14,4;;14,2;;13,4;p;13,1;p
