Years;EU27 (2020) - European Union 27 (since 2020);EU28 - European Union (28 countries);EA19 - Euro Area (19 countries);DE - Germany;AT - Austria;BE - Belgium;BG - Bulgaria;CY - Cyprus;HR - Croatia;DK - Denmark;SK - Slovakia;SI - Slovenia;ES - Spain;EE - Estonia;FI - Finland;FR - France;GR - Greece;HU - Hungary;IE - Ireland;IT - Italy;LV - Latvia;LT - Lithuania;LU - Luxembourg;MT - Malta;NL - Netherlands;PL - Poland;PT - Portugal;CZ - Czech Republic;RO - Romania;SE - Sweden;IS - Iceland;NO - Norway;UK - United Kingdom;CH - Switzerland
1999;x;x;x;//;//; 1 074,44; 31,19;//;//;//; 69,43; 361,33; 485,71; 79,89;//; 1 035,97; 505,06; 89,15;//;//; 75,18; 92,14; 1 162,08; 464,93; 1 064,20; 158,94; 356,72; 92,35; 27,31;//;//;//;//;//
2000;x;x;x;//;//; 1 095,89; 34,26;//;//;//; 94,34; 373,35; 495,60; 89,48;//; 1 049,49; 526,05; 100,12;//;//; 85,02; 107,05; 1 191,13; 505,05; 1 092,00; 161,11; 371,27; 110,79; 24,53;//;//;//; 952,23;//
2001;x;x;x;//;//; 1 117,88; 40,42;//;//;//; 100,15; 395,33; 505,69; 102,26;//; 1 083,29; 543,55; 150,94; 944,71;//; 86,75; 115,50; 1 258,75; 530,42; 1 154,50; 197,41; 389,89; 142,67; 41,42;//;//;//; 977,41;//
2002;x;x;x;//;//; 1 140,24; 51,38;//;//;//; 115,01; 432,63; 515,90; 118,24;//; 1 127,23; 571,71; 203,93; 1 008,93;//; 107,86; 122,06; 1 290,21; 557,45; 1 206,60; 217,43; 406,01; 178,34; 50,33;//;//;//; 1 109,29;//
2003;x;x;x;//;//; 1 163,02; 56,28;//;//;//; 134,21; 450,31; 526,40; 138,05;//; 1 154,27; 606,52; 211,60; 1 073,15;//; 114,01; 124,55; 1 368,74; 550,53; 1 249,20; 198,96; 416,03; 196,35; 71,15;//;//;//; 1 063,80;//
2004;x;x;x;//;//; 1 186,31; 61,36;//;//;//; 147,68; 470,99; 537,25; 158,50;//; 1 215,11; 630,77; 201,90; 1 073,15;//; 118,96; 130,34; 1 402,96; 540,84; 1 264,80; 175,25; 425,95; 206,73; 68,03;//;//;//; 1 054,20;//
2005;x;x;x;//;//; 1 210,00; 76,69;//;//;//; 167,76; 490,07; 598,50; 171,92;//; 1 286,09; 667,68; 231,74; 1 183,00;//; 114,63; 144,81; 1 466,77; 555,06; 1 264,80; 207,86; 437,15; 235,85; 78,70;//;//;//; 1 134,67;//
2006;x;x;x;//;//; 1 234,00; 81,79;//;//;//; 182,15; 511,90; 631,05; 191,73;//; 1 217,88; 709,71; 247,16; 1 292,85;//; 129,27; 159,29; 1 503,42; 584,24; 1 272,60; 232,90; 449,98; 261,03; 89,67;//;//;//; 1 212,61;//
2007;x;x;x;//;//; 1 259,00; 92,03;//;//;//; 220,71; 521,80; 665,70; 230,08;//; 1 254,28; 730,30; 260,16; 1 402,70;//; 172,12; 173,77; 1 570,28; 601,90; 1 300,80; 244,32; 470,17; 291,07; 115,27;//;//;//; 1 314,97;//
2008;x;x;x;//;//; 1 309,60; 112,49;//;//;//; 241,19; 538,53; 700,00; 278,02;//; 1 280,07; 794,02; 271,94; 1 461,85;//; 229,75; 231,70; 1 570,28; 617,21; 1 335,00; 313,34; 497,00; 300,44; 138,59;//;//;//; 1 242,24;//
2009;x;x;x;//;//; 1 387,50; 122,71;//; 373,46;//; 295,50; 589,19; 728,00; 278,02;//; 1 321,02; 817,83; 268,09; 1 461,85;//; 254,13; 231,70; 1 641,74; 634,88; 1 381,20; 307,21; 525,00; 297,67; 149,16;//;//;//; 995,28;//
2010;x;x;x;//;//; 1 387,50; 122,71;//; 385,48;//; 307,70; 597,43; 738,85; 278,02;//; 1 343,77; 862,82; 271,80; 1 461,85;//; 253,77; 231,70; 1 682,76; 659,92; 1 407,60; 320,87; 554,17; 302,19; 141,63;//;//;//; 1 076,46;//
2011;x;x;x;//;//; 1 415,24; 122,71;//; 381,15;//; 317,00; 748,10; 748,30; 278,02;//; 1 365,00; 862,82; 280,63; 1 461,85;//; 281,93; 231,70; 1 757,56; 664,95; 1 424,40; 348,68; 565,83; 319,22; 157,20;//;//;//; 1 136,22;//
2012;x;x;x;//;//; 1 443,54; 138,05;//; 373,36;//; 327,00; 763,06; 748,30; 290,00;//; 1 398,37; 876,62; 295,63; 1 461,85;//; 285,92; 231,70; 1 801,49; 685,14; 1 446,60; 336,47; 565,83; 310,23; 161,91;//;//;//; 1 201,96;//
2013;x;x;x;//;//; 1 501,82; 158,50;//; 372,35;//; 337,70; 783,66; 752,85; 320,00;//; 1 430,22; 683,76; 335,27; 1 461,85;//; 286,66; 289,62; 1 874,19; 702,82; 1 469,40; 392,73; 565,83; 318,08; 157,50;//;//;//; 1 249,85;//
2014;x;x;x;//;//; 1 501,82; 173,84;//; 395,67;//; 352,00; 789,15; 752,85; 355,00;//; 1 445,38; 683,76; 341,70; 1 461,85;//; 320,00; 289,62; 1 921,03; 717,95; 1 485,60; 404,40; 565,83; 309,91; 190,11;//;//;//; 1 251,05;//
2015;x;x;x; 1 444,00;//; 1 501,82; 184,07;//; 395,61;//; 380,00; 790,73; 756,70; 390,00;//; 1 457,52; 683,76; 332,76; 1 461,85;//; 360,00; 300,00; 1 922,96; 720,46; 1 501,80; 409,53; 589,17; 331,71; 217,50;//;//;//; 1 378,87;//
2016;x;x;x; 1 444,00;//; 1 501,82; 214,75;//; 408,48;//; 405,00; 790,73; 764,40; 430,00;//; 1 466,62; 683,76; 351,29; 1 546,35;//; 370,00; 350,00; 1 922,96; 728,04; 1 524,60; 433,88; 618,33; 366,35; 232,10;//;//;//; 1 512,36;//
2017;x;x;x; 1 506,00;//; 1 531,93; 235,20;//; 433,35;//; 435,00; 804,96; 825,65; 470,00;//; 1 480,27; 683,76; 411,52; 1 563,25;//; 380,00; 380,00; 1 998,59; 735,63; 1 551,60; 453,48; 649,83; 407,09; 275,39;//;//;//; 1 393,40;//
2018;x;x;x; 1 506,00;//; 1 562,59; 260,76;//; 462,34;//; 480,00; 842,79; 858,55; 500,00;//; 1 498,47; 683,76; 444,69; 1 613,95;//; 430,00; 400,00; 1 998,59; 747,54; 1 578,00; 502,75; 676,67; 477,78; 407,86;//;//;//; 1 399,86;//
2019;x;x;x; 1 561,00;//; 1 593,81; 286,33;//; 505,90;//; 520,00; 886,63; 1 050,00; 540,00;//; 1 521,22; 683,76; 464,20; 1 656,20;//; 430,00; 555,00; 2 089,75; 761,97; 1 615,80; 523,09; 700,00; 518,97; 446,02;//;//;//; 1 453,28;//
2020;x;x;x; 1 544,00;//; 1 593,81; 311,89;//; 546,07;//; 580,00; 940,58; 1 108,33; 584,00;//; 1 539,42; 758,33; 487,10; 1 656,20;//; 430,00; 607,00; 2 141,99; 777,10; 1 653,60; 610,79; 740,83; 574,62; 466,23;//;//;//; 1 598,69;//
2021;x;x;x; 1 569,00;//; 1 625,72; 332,34;//; 562,77;//; 623,00; 1 024,24; 1 108,33; 584,00;//; 1 554,58; 758,33; 442,44; 1 723,80;//; 500,00; 642,00; 2 201,93; 784,68; 1 684,80; 614,08; 775,83; 579,22; 458,07;//;//;//;x;//
2022;x;x;x; 1 621,00;x; 1 658,23; 332,34;x; 623,70;x; 646,00; 1 074,43; 1 125,83; 654,00;x; 1 603,12; 773,50; 541,73; 1 774,50;x; 500,00; 730,00; 2 256,95; 792,26; 1 725,00; 654,79; 822,50; 651,70; 515,26;x;x;x;x;x
