ISCO08;;;Total;;;;;;;;;
WSTATUS;;;Employed persons;;;;;;;;;
WORKTIME;;;Full-time;;;;;;;;;
AGE;;;From 15 to 64 years;;;;;;;;;
SEX;;;Males;;;;;;;;;
UNIT;;;Hour;;;;;;;;;
;;;;;;;;;;;;
GEO/TIME;Worktime;Sex;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
European Union - 27 countries (from 2020);Full-Time;Men;41,6;41,4;41,3;41,3;41,4;41,1;41,0;40,8;39,9;40,1
European Union - 28 countries (2013-2020);Full-Time;Men;41,7;41,6;41,5;41,4;41,5;41,3;41,1;41,0;:;:
European Union - 15 countries (1995-2004);Full-Time;Men;41,7;41,6;41,5;41,5;41,6;41,3;41,3;41,1;:;:
Euro area - 19 countries  (from 2015);Full-Time;Men;41,6;41,4;41,3;41,3;41,4;41,1;41,1;41,0;39,9;39,9
Belgium;Full-Time;Men;41,9;42,3;42,0;42,3;42,2;41,1;41,0;41,1;40,0;39,2
Bulgaria;Full-Time;Men;40,8;40,6;40,7;40,8;40,8;40,6;40,4;40,2;39,9;39,9
Czechia;Full-Time;Men;42,2;41,6;41,5;41,2;41,5;41,3;41,1;41,0;39,6;40,0
Denmark;Full-Time;Men;40,8;40,7;40,6;40,7;40,2;40,1;39,7;39,3;39,1;39,7
Germany (until 1990 former territory of the FRG);Full-Time;Men;42,4;42,2;42,1;41,9;41,9;41,5;41,3;41,2;40,1;40,1
Estonia;Full-Time;Men;40,9;40,7;40,3;40,2;40,9;40,9;40,6;40,6;39,8;39,5
Ireland;Full-Time;Men;41,9;41,9;41,8;41,6;41,9;41,9;42,3;42,2;41,4;41,1
Greece;Full-Time;Men;43,7;44,0;44,1;44,2;44,5;44,3;44,0;43,7;43,1;43,1
Spain;Full-Time;Men;41,5;41,8;41,7;41,5;41,3;41,0;41,2;40,8;39,9;39,7
France;Full-Time;Men;40,7;40,0;39,8;39,9;40,1;39,9;40,0;39,8;39,1;39,4
Croatia;Full-Time;Men;41,1;40,8;40,8;40,1;40,2;40,3;40,0;39,8;39,3;39,5
Italy;Full-Time;Men;40,7;40,8;40,7;40,9;41,1;41,1;41,3;41,2;39,8;40,3
Cyprus;Full-Time;Men;41,6;41,6;41,6;41,6;42,0;41,9;41,3;40,8;40,4;40,3
Latvia;Full-Time;Men;40,5;40,3;40,3;40,2;40,6;40,3;40,3;39,9;39,5;39,8
Lithuania;Full-Time;Men;40,3;40,2;40,1;40,2;40,3;39,9;39,9;39,9;39,5;39,8
Luxembourg;Full-Time;Men;42,4;42,2;42,1;42,2;42,0;41,6;41,3;41,2;40,5;39,6
Hungary;Full-Time;Men;40,3;40,0;39,8;39,9;40,4;39,9;39,4;39,5;39,2;39,3
Malta;Full-Time;Men;41,3;41,3;41,1;41,3;41,7;41,0;41,2;42,0;40,4;39,8
Netherlands;Full-Time;Men;41,8;41,9;42,2;42,0;42,2;42,0;41,7;41,7;40,8;39,2
Austria;Full-Time;Men;42,3;42,2;41,9;41,5;41,7;41,3;41,4;41,4;39,4;39,2
Poland;Full-Time;Men;42,4;42,2;42,3;42,3;42,3;41,9;41,2;41,1;40,5;41,6
Portugal;Full-Time;Men;42,4;42,5;42,4;42,3;41,6;41,5;41,4;41,3;40,0;40,3
Romania;Full-Time;Men;41,2;41,1;41,0;40,6;40,7;40,6;40,5;40,6;40,1;40,7
Slovenia;Full-Time;Men;41,1;41,4;41,4;41,6;41,2;40,5;40,7;40,6;40,8;40,6
Slovakia;Full-Time;Men;41,2;41,3;40,9;40,9;40,8;40,5;40,5;40,6;39,8;39,3
Finland;Full-Time;Men;40,2;40,0;39,7;40,0;40,2;40,0;39,7;39,7;39,4;39,0
Sweden;Full-Time;Men;40,3;40,1;39,9;39,8;40,1;39,8;39,7;39,5;38,4;38,9
Iceland;Full-Time;Men;45,9;45,7;45,8;46,2;45,7;45,2;44,9;44,5;42,9;41,9
Norway;Full-Time;Men;39,8;39,6;39,9;39,5;39,5;39,2;39,0;38,8;38,4;38,6
Switzerland;Full-Time;Men;44,7;44,6;44,2;44,3;44,4;44,3;44,1;43,9;42,8;43,3
United Kingdom;Full-Time;Men;42,6;42,6;42,6;42,6;42,6;42,5;42,2;42,1;:;:
Montenegro;Full-Time;Men;44,4;44,5;44,3;44,9;44,3;44,2;45,4;45,4;44,4;:
North Macedonia;Full-Time;Men;43,2;43,1;43,0;42,4;42,6;43,2;42,6;41,8;40,0;:
Serbia;Full-Time;Men;45,9;45,3;43,0;45,7;45,8;45,1;44,9;45,1;44,4;44,5
Turkey;Full-Time;Men;53,2;51,9;51,6;51,0;50,4;50,0;49,2;48,6;47,0;:
GEO/TIME;Wortime;sex;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
European Union - 27 countries (from 2020);Part-time;Men;20,5;20,3;20,4;20,4;20,5;20,6;20,7;20,8;21,0;21,0
European Union - 28 countries (2013-2020);Part-time;Men;20,1;20,1;20,2;20,2;20,3;20,4;20,5;20,6;:;:
European Union - 15 countries (1995-2004);Part-time;Men;19,5;19,5;19,7;19,8;20,0;20,1;20,3;20,4;:;:
Euro area - 19 countries  (from 2015);Part-time;Men;19,8;19,7;19,8;19,9;20,1;20,2;20,4;20,6;20,8;20,8
Belgium;Part-time;Men;24,0;23,4;23,7;23,9;23,8;24,6;24,3;23,6;23,5;22,7
Bulgaria;Part-time;Men;21,2;20,7;21,1;20,7;20,2;20,7;20,7;20,3;19,2;21,7
Czechia;Part-time;Men;21,2;21,7;21,5;20,3;20,4;20,9;22,1;21,6;21,3;20,7
Denmark;Part-time;Men;16,3;16,6;16,3;15,8;16,4;16,3;16,0;16,3;16,2;16,5
Germany (until 1990 former territory of the FRG);Part-time;Men;17,6;17,5;17,8;17,9;18,1;18,0;18,3;18,6;19,7;20,0
Estonia;Part-time;Men;21,1;19,8;21,5;22,0;21,4;21,2;20,9;20,4;20,2;20,5
Ireland;Part-time;Men;19,7;19,8;19,8;19,6;19,3;18,9;18,7;18,6;18,8;19,9
Greece;Part-time;Men;20,5;20,1;20,1;20,9;20,8;20,5;20,8;21,0;20,3;22,0
Spain;Part-time;Men;18,1;18,3;18,5;18,9;18,8;18,7;19,0;19,3;19,6;19,5
France;Part-time;Men;21,6;21,2;21,2;21,1;21,3;21,7;21,6;21,4;21,4;22,0
Croatia;Part-time;Men;20,5;20,6;20,8;19,9;20,1;21,2;20,5;20,8;20,2;20,5
Italy;Part-time;Men;21,3;21,1;21,2;21,5;21,9;22,0;22,4;22,6;22,0;22,2
Cyprus;Part-time;Men;19,6;19,4;19,5;19,1;18,8;18,9;19,1;19,4;19,2;18,7
Latvia;Part-time;Men;21,3;21,6;21,2;20,1;21,5;21,2;21,4;21,2;21,6;21,0
Lithuania;Part-time;Men;22,6;22,7;22,3;21,8;22,3;21,7;21,6;22,5;21,7;20,6
