GEO/TIME;Worktime;Sex;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
European Union - 27 countries (from 2020);Full-Time;Women;39,0;38,9;38,9;38,8;38,9;38,8;38,7;38,6;37,8;38,0
European Union - 28 countries (2013-2020);Full-Time;Women;39,0;38,9;38,9;38,8;39,0;38,8;38,7;38,6;:;:
European Union - 15 countries (1995-2004);Full-Time;Women;38,8;38,7;38,7;38,7;38,7;38,6;38,5;38,5;:;:
Euro area - 19 countries  (from 2015);Full-Time;Women;38,8;38,7;38,7;38,7;38,7;38,6;38,6;38,5;37,6;37,6
Belgium;Full-Time;Women;39,0;39,1;39,2;39,3;39,4;38,7;38,7;38,6;37,6;36,8
Bulgaria;Full-Time;Women;40,3;40,2;40,2;40,2;40,3;40,1;39,9;39,7;39,4;39,5
Czechia;Full-Time;Women;39,4;39,1;38,9;38,7;39,2;38,8;38,8;38,7;37,8;38,2
Denmark;Full-Time;Women;37,7;37,7;37,6;37,8;36,9;37,2;37,0;36,5;36,6;37,2
Germany (until 1990 former territory of the FRG);Full-Time;Women;40,0;39,9;39,8;39,8;39,7;39,5;39,4;39,3;38,1;38,2
Estonia;Full-Time;Women;39,6;39,5;39,2;39,2;39,4;39,7;38,8;39,2;38,6;38,4
Ireland;Full-Time;Women;36,7;37,0;37,0;36,7;37,0;37,1;37,6;37,5;36,8;37,0
Greece;Full-Time;Women;40,7;40,8;40,7;40,6;40,8;40,6;40,4;40,2;39,6;39,6
Spain;Full-Time;Women;39,2;39,5;39,2;39,1;39,0;38,7;38,9;38,7;38,0;37,6
France;Full-Time;Women;37,8;37,1;37,1;37,2;37,5;37,6;37,4;37,4;36,8;37,2
Croatia;Full-Time;Women;40,1;39,9;39,8;38,9;39,1;39,3;39,3;39,1;38,8;38,4
Italy;Full-Time;Women;37,2;37,4;37,4;37,5;37,6;37,6;37,8;37,9;36,7;37,1
Cyprus;Full-Time;Women;39,9;39,7;39,3;39,1;39,5;39,2;38,9;38,6;38,4;38,5
Latvia;Full-Time;Women;39,7;39,5;39,7;39,5;39,9;39,6;39,5;39,4;39,1;39,2
Lithuania;Full-Time;Women;39,3;39,2;39,1;39,1;39,2;38,8;39,0;39,0;38,4;39,1
Luxembourg;Full-Time;Women;40,3;39,9;40,3;39,7;39,5;39,5;39,4;39,4;38,7;37,2
Hungary;Full-Time;Women;38,9;38,6;38,7;38,6;39,1;38,6;38,1;38,6;38,5;38,6
Malta;Full-Time;Women;38,2;38,2;38,1;38,0;38,6;38,2;38,5;39,8;38,8;38,0
Netherlands;Full-Time;Women;39,4;39,3;39,8;39,6;39,8;39,8;39,5;39,4;38,5;35,1
Austria;Full-Time;Women;40,1;39,9;39,8;39,5;39,4;39,3;39,4;39,3;37,3;37,4
Poland;Full-Time;Women;39,2;39,0;39,4;39,4;39,6;39,3;38,8;38,7;38,4;39,5
Portugal;Full-Time;Women;40,1;40,2;40,4;40,2;39,6;39,4;39,2;38,9;38,0;38,3
Romania;Full-Time;Women;39,9;39,9;40,0;39,7;39,8;39,7;39,7;39,7;39,2;39,8
Slovenia;Full-Time;Women;39,7;40,0;40,3;40,1;39,6;39,1;39,3;39,3;39,9;39,6
Slovakia;Full-Time;Women;39,3;39,4;38,9;39,2;39,1;38,7;38,8;38,9;38,3;37,6
Finland;Full-Time;Women;36,9;36,6;36,7;36,7;37,0;37,0;37,0;36,9;36,8;36,2
Sweden;Full-Time;Women;38,3;38,2;38,1;37,9;38,2;38,0;38,0;37,7;36,8;37,4
Iceland;Full-Time;Women;39,9;39,8;40,1;40,1;40,7;40,5;39,9;40,1;38,8;36,8
Norway;Full-Time;Women;36,8;36,8;36,9;36,7;36,8;36,8;36,5;36,3;36,2;36,2
Switzerland;Full-Time;Women;41,6;41,6;41,7;41,7;41,9;41,5;41,4;41,5;40,2;41,8
United Kingdom;Full-Time;Women;38,9;38,9;39,0;39,0;39,2;38,9;38,8;39,0;:;:
Montenegro;Full-Time;Women;43,0;43,3;42,5;43,3;43,2;42,8;43,1;43,1;42,2;:
North Macedonia;Full-Time;Women;41,9;42,1;41,9;41,7;41,6;42,0;41,5;40,6;39,2;:
Serbia;Full-Time;Women;43,4;43,3;40,4;43,2;43,3;42,9;42,9;42,9;42,5;42,7
Turkey;Full-Time;Women;47,9;46,8;46,7;46,3;45,9;45,4;45,0;44,5;43,7;:
GEO/TIME;Worktime;Sex;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
European Union - 27 countries (from 2020);Part-Time;Women;20,5;20,6;20,7;20,8;21,0;21,0;21,2;21,3;21,3;21,3
European Union - 28 countries (2013-2020);Part-Time;Women;20,3;20,4;20,4;20,6;20,7;20,8;20,9;21,0;:;:
European Union - 15 countries (1995-2004);Part-Time;Women;20,2;20,3;20,4;20,5;20,7;20,7;20,9;21,0;:;:
Euro area - 19 countries  (from 2015);Part-Time;Women;20,3;20,4;20,5;20,6;20,8;20,9;21,1;21,2;21,3;21,2
Belgium;Part-Time;Women;23,3;23,4;23,5;23,6;23,7;24,3;24,2;24,0;24,2;23,3
Bulgaria;Part-Time;Women;19,7;20,0;19,8;19,5;19,5;19,9;20,0;19,6;19,6;21,2
Czechia;Part-Time;Women;21,3;21,1;21,4;21,7;21,7;21,4;21,8;22,0;21,8;21,5
Denmark;Part-Time;Women;21,6;21,5;20,2;19,7;20,9;20,6;20,1;19,8;20,1;20,4
Germany (until 1990 former territory of the FRG);Part-Time;Women;18,9;19,4;19,7;19,9;20,1;20,1;20,3;20,6;21,0;21,3
Estonia;Part-Time;Women;21,0;20,6;20,4;20,1;20,9;21,1;20,9;20,6;20,5;20,5
Ireland;Part-Time;Women;18,6;18,7;18,7;19,0;19,0;18,8;18,7;18,6;18,9;19,6
Greece;Part-Time;Women;19,8;19,6;19,8;20,0;20,2;20,0;19,8;20,1;20,3;20,6
Spain;Part-Time;Women;18,2;18,2;18,4;18,6;18,7;18,8;19,3;19,2;19,4;19,0
France;Part-Time;Women;22,7;22,6;22,4;22,4;22,4;22,4;22,6;22,6;22,5;22,6
Croatia;Part-Time;Women;18,4;19,3;18,6;18,7;19,3;20,1;19,9;19,8;19,9;19,8
Italy;Part-Time;Women;21,0;20,8;20,7;20,9;21,0;21,3;21,6;21,6;21,2;21,2
Cyprus;Part-Time;Women;19,7;18,7;19,0;19,0;18,8;19,6;20,4;19,5;19,2;18,5
Latvia;Part-Time;Women;21,0;20,6;19,9;20,5;20,3;21,4;20,6;20,5;20,5;21,3
Lithuania;Part-Time;Women;21,8;21,5;21,4;20,7;21,0;20,9;20,8;21,0;21,4;21,0
Luxembourg;Part-Time;Women;22,6;22,4;23,4;22,7;22,7;22,7;22,8;23,5;23,1;22,0
Hungary;Part-Time;Women;22,8;22,7;22,1;22,0;21,6;22,0;21,1;21,0;21,4;21,4
Malta;Part-Time;Women;21,5;21,5;20,6;21,1;22,1;21,9;21,5;22,1;21,6;22,8
Netherlands;Part-Time;Women;21,1;21,1;21,3;21,3;21,7;21,9;22,0;22,3;22,2;21,2
Austria;Part-Time;Women;20,8;20,9;20,7;20,7;20,8;20,9;21,1;21,5;20,7;20,9
Poland;Part-Time;Women;21,2;21,0;20,9;21,4;21,2;21,2;20,8;20,7;20,7;21,2
Portugal;Part-Time;Women;16,3;17,1;16,9;16,9;17,3;17,5;17,3;17,3;16,9;17,3
Romania;Part-Time;Women;24,8;24,6;24,1;22,7;23,1;22,8;21,8;21,8;22,2;24,3
Slovenia;Part-Time;Women;19,8;19,4;19,3;19,8;20,3;19,9;20,1;20,8;21,3;22,1
Slovakia;Part-Time;Women;19,3;19,4;18,7;18,5;19,2;19,1;19,4;19,2;19,7;20,3
Finland;Part-Time;Women;20,6;20,1;20,4;20,0;20,0;20,3;20,2;19,6;20,1;20,4
Sweden;Part-Time;Women;24,9;24,8;24,9;24,7;24,9;24,6;24,4;24,2;24,0;24,1
Iceland;Part-Time;Women;21,4;21,6;23,0;23,6;23,9;23,8;23,0;23,5;23,0;21,8
Norway;Part-Time;Women;21,5;21,4;20,7;20,7;20,7;20,7;20,7;20,9;20,7;19,6
Switzerland;Part-Time;Women;22,4;22,4;22,7;22,9;23,1;23,3;23,2;23,3;23,2;23,4
United Kingdom;Part-Time;Women;19,0;19,1;19,2;19,5;19,5;19,6;19,5;19,6;:;:
Montenegro;Part-Time;Women;21,8;23,5;22,6;21,2;21,7;24,1;25,4;25,9;26,7;:
North Macedonia;Part-Time;Women;19,8;18,8;20,5;20,9;20,8;21,9;21,4;22,2;19,5;:
Serbia;Part-Time;Women;21,8;20,1;19,9;21,5;21,9;22,1;22,0;23,0;22,3;22,1
Turkey;Part-Time;Women;18,1;18,0;18,4;17,9;17,7;17,6;17,7;17,7;16,9;:
