;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ageing Europe;;;;;;;;;;;;;;;;;;;;;;;
;;Working and moving into retirement;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Figure 10: Number of persons employed aged ³65 years, by age class and selected economic activity, EU-27, 2019;;;;;;;;;;;;;;;;;;;;;;;
;;(thousands);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Men;Women;All people;;;;;;;;;;;;;;;;;;;
;;"
Crop and animal 
production, hunting";65-74 years;391,9;239,7;631,5;;;;;;;;;;;;;;;;;;;
;;;³75 years;68,5;29,3;97,8;;;;;;;;;;;;;;;;;;;
;;"
Human health activities (_)";65-74 years;175,1;192,1;367,2;;;;;;;;;;;;;;;;;;;
;;;³75 years;18,3;12,2;30,5;;;;;;;;;;;;;;;;;;;
;;"
Retail trade, except of 
motor vehicles and motorcycles";65-74 years;155,8;182,5;338,2;;;;;;;;;;;;;;;;;;;
;;;³75 years;26,6;22,5;49,1;;;;;;;;;;;;;;;;;;;
;;"
Education (_)";65-74 years;154,4;176,1;330,6;;;;;;;;;;;;;;;;;;;
;;;³75 years;15,6;8,5;24,1;;;;;;;;;;;;;;;;;;;
;;"
Public administration and defence; compulsory social security (_)";65-74 years;112,4;79,0;191,4;;;;;;;;;;;;;;;;;;;
;;;³75 years;;;6,6;;;;;;;;;;;;;;;;;;;
;;"
Wholesale trade, except of 
motor vehicles and motorcycles (_)";65-74 years;104,4;35,9;140,2;;;;;;;;;;;;;;;;;;;
;;;³75 years;15,2;;20,1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Note: the figure shows the six economic activities (at NACE Division level) in the EU-27 with the largest workforces composed of people aged ³65 years.;;;;;;;;;;;;;;;;;;;;;;;
;;(_) Women aged ³75 years: low reliability.;;;;;;;;;;;;;;;;;;;;;;;
;;(_) Men and women aged ³75 years: not available (due to very low reliability).;;;;;;;;;;;;;;;;;;;;;;;
;;(_) Women aged ³75 years: not available (due to very low reliability).;;;;;;;;;;;;;;;;;;;;;;;
;;Source: Eurostat (online data code: lfsa_egan22d);;;;;;;;;;;;;;;;;;;;;;;
Bookmark:;;;;;;;;;;;;;;;;;;;;;;;;;
"https://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-139782_QID_2B318647_UID_-3F171EB0&layout=TIME,C,X,0;SEX,L,X,1;NACE_R2,L,Y,0;AGE,L,Y,1;UNIT,L,Z,0;GEO,L,Z,1;INDICATORS,C,Z,2;&zSelection=DS-139782UNIT,THS;DS-139782GEO,EU27_2020;DS-139782INDICATORS,OBS_FLAG;&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=GEO_1_2_0_1&rankName4=TIME_1_0_0_0&rankName5=SEX_1_2_1_0&rankName6=NACE-R2_1_2_0_1&rankName7=AGE_1_2_1_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
