"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,11,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,19.2,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,7.5,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,6.8,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,17.5,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,16.7,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,18.9,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,13.5,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,10,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,5.7,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,10.9,,
"KOR","Korea","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,5.3,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,14,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,9.3,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,12.4,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,27,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,14.6,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,13.8,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,12.4,,
"SVN","Slovenia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,18.5,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,11,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,5.4,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,10.1,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,18.5,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,9.6,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,34.7,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,43.1,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,6.2,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,25.7,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,20.6,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,9.4,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,11.4,,
"RUS","Russia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,22.2,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,23.2,,
"SVN","Slovenia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,14.5,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,13.6,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,11.9,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,24.6,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,39.2,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,17.5,,
"CHN","China (People's Republic of)","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,9.2,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,20.9,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,24.8,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,4.5,,
"CHL","Chile","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,16.6,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,10.4,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,24,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,17.4,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,28.7,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,12.3,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,8.9,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,33.3,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,32,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,19.7,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,11,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,29.5,,
"RUS","Russia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,17.8,,
"CHL","Chile","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,31.3,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,7.3,,
"SWE","Sweden","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,18.4,,
"KOR","Korea","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,9.5,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,9.2,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,13.2,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,12.9,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,16.3,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,13.7,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,12,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,8.7,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,18.9,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,5,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,37.7,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,22.1,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,23.4,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,12,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,18.3,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,11.2,,
"IDN","Indonesia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,21.6,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,29.4,,
"IND","India","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,10.1,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,11.7,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,26,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,15,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,7.9,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,37.8,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,12.5,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,18.3,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,23.8,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,10.5,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,18,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,17.9,,
"KOR","Korea","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,8.9,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,16.3,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,21.6,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,14.7,,
"SVN","Slovenia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,13.8,,
"SWE","Sweden","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,4.8,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,17.4,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,10.5,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,8.5,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,15.3,,
"IDN","Indonesia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,27.6,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,39.7,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,15.1,,
"RUS","Russia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,17.3,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,12.3,,
"RUS","Russia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,14.4,,
"SWE","Sweden","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,21.6,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,14.1,,
